Library ID	Histone_Mark	Individual	Treatment	Timepoint	npeaks	lpeaks	avelpeaks
MCW_CT_ROA_169	H3K36me3	Ind1	VEH	24T	3.1	3.1	NA
MCW_CT_ROA_171	H3K36me3	Ind1	DOX	24R	3	3	NA
MCW_CT_ROA_172	H3K36me3	Ind1	VEH	24R	3.6	3.6	NA
MCW_CT_ROA_174	H3K36me3	Ind1	DOX	144R	2.1	2.1	NA
MCW_CT_ROA_175	H3K36me3	Ind1	VEH	144R	3	3	NA
MCW_CT_ROA_177	H3K36me3	Ind2	DOX	24T	3.3	3.3	NA
MCW_CT_ROA_178	H3K36me3	Ind2	VEH	24T	2.4	2.4	NA
MCW_CT_ROA_180	H3K36me3	Ind2	DOX	24R	2.4	2.4	NA
MCW_CT_ROA_181	H3K36me3	Ind2	VEH	24R	2.4	2.4	NA
MCW_CT_ROA_183	H3K36me3	Ind2	DOX	144R	3.3	3.3	NA
MCW_CT_ROA_184	H3K36me3	Ind2	VEH	144R	2.7	2.7	NA
MCW_CT_ROA_186	H3K36me3	Ind3	DOX	24T	3	2.9	NA
MCW_CT_ROA_189	H3K36me3	Ind3	DOX	24R	2.7	2.7	NA
MCW_CT_ROA_190	H3K36me3	Ind3	VEH	24R	4.3	4.3	NA
MCW_CT_ROA_192	H3K36me3	Ind3	DOX	144R	3.1	3.1	NA
MCW_CT_ROA_193	H3K36me3	Ind3	VEH	144R	2.4	2.3	NA
MCW_CT_ROA_195	H3K36me3	Ind4	DOX	24T	3.5	3.5	NA
MCW_CT_ROA_196	H3K36me3	Ind4	VEH	24T	3	3	NA
MCW_CT_ROA_198	H3K36me3	Ind4	DOX	24R	3.7	3.7	NA
MCW_CT_ROA_199	H3K36me3	Ind4	VEH	24R	2.3	2.3	NA
MCW_CT_ROA_201	H3K36me3	Ind4	DOX	144R	3.5	3.5	NA
MCW_CT_ROA_202	H3K36me3	Ind4	VEH	144R	4.4	4.4	NA
MCW_CT_ROA_204	H3K36me3	Ind5	DOX	24T	4	4	NA
MCW_CT_ROA_205	H3K36me3	Ind5	VEH	24T	3.5	3.5	NA
MCW_CT_ROA_207	H3K36me3	Ind5	DOX	24R	4	4	NA
MCW_CT_ROA_208	H3K36me3	Ind5	VEH	24R	3.4	3.5	NA
MCW_CT_ROA_210	H3K36me3	Ind5	DOX	144R	3.4	3.5	NA
MCW_CT_ROA_211	H3K36me3	Ind5	VEH	144R	3.8	3.7	NA
H3K36me3_all	H3K36me3	ALL	ALL	ALL	3.189285714	3.185714286	NA
MCW_CT_ROA_123	H3K27me3	Ind1	DOX	24T	3.3	3.3	3.4
MCW_CT_ROA_124	H3K27me3	Ind1	VEH	24T	3.5	3	2.1
MCW_CT_ROA_126	H3K27me3	Ind1	DOX	24R	3.2	3.2	NA
MCW_CT_ROA_127	H3K27me3	Ind1	VEH	24R	3.3	3	3.4
MCW_CT_ROA_130	H3K27me3	Ind1	VEH	144R	3	3	3
MCW_CT_ROA_132	H3K27me3	Ind2	DOX	24T	2.7	2.7	3.7
MCW_CT_ROA_133	H3K27me3	Ind2	VEH	24T	2.6	2.6	3.6
MCW_CT_ROA_135	H3K27me3	Ind2	DOX	24R	3.1	3.3	3.2
MCW_CT_ROA_136	H3K27me3	Ind2	VEH	24R	3.4	3.5	4.5
MCW_CT_ROA_138	H3K27me3	Ind2	DOX	144R	3.1	2.5	NA
MCW_CT_ROA_139	H3K27me3	Ind2	VEH	144R	3.8	3.8	5
MCW_CT_ROA_141	H3K27me3	Ind3	DOX	24T	2.9	2.7	4.6
MCW_CT_ROA_142	H3K27me3	Ind3	VEH	24T	3.1	3.3	3.3
MCW_CT_ROA_144	H3K27me3	Ind3	DOX	24R	2.5	2.5	5
MCW_CT_ROA_145	H3K27me3	Ind3	VEH	24R	3.6	2.7	4.7
MCW_CT_ROA_147	H3K27me3	Ind3	DOX	144R	3	2.3	2.2
MCW_CT_ROA_148	H3K27me3	Ind3	VEH	144R	2.5	2.5	3.5
MCW_CT_ROA_150	H3K27me3	Ind4	DOX	24T	3	2.9	3
MCW_CT_ROA_151	H3K27me3	Ind4	VEH	24T	3.1	3.1	NA
MCW_CT_ROA_153	H3K27me3	Ind4	DOX	24R	4	4.4	5.4
MCW_CT_ROA_154	H3K27me3	Ind4	VEH	24R	3.2	3.3	3.5
MCW_CT_ROA_156	H3K27me3	Ind4	DOX	144R	5	3.6	NA
MCW_CT_ROA_157	H3K27me3	Ind4	VEH	144R	4.1	4	NA
MCW_CT_ROA_159	H3K27me3	Ind5	DOX	24T	2.8	2.9	4.7
MCW_CT_ROA_160	H3K27me3	Ind5	VEH	24T	2.8	2.9	3.3
MCW_CT_ROA_162	H3K27me3	Ind5	DOX	24R	4.2	4.2	NA
MCW_CT_ROA_163	H3K27me3	Ind5	VEH	24R	3.6	3.6	4.7
MCW_CT_ROA_165	H3K27me3	Ind5	DOX	144R	3.8	3.8	NA
MCW_CT_ROA_166	H3K27me3	Ind5	VEH	144R	3.3	3.2	5.1
H3K27me3_all	H3K27me3	ALL	ALL	ALL	3.293103448	3.165517241	3.859090909
MCW_CT_ROA_213	H3K9me3	Ind1	DOX	24T			
MCW_CT_ROA_214	H3K9me3	Ind1	VEH	24T			
MCW_CT_ROA_217	H3K9me3	Ind1	VEH	24R			
MCW_CT_ROA_219	H3K9me3	Ind1	DOX	144R			
MCW_CT_ROA_220	H3K9me3	Ind1	VEH	144R			
MCW_CT_ROA_222	H3K9me3	Ind2	DOX	24T			
MCW_CT_ROA_223	H3K9me3	Ind2	VEH	24T			
MCW_CT_ROA_225	H3K9me3	Ind2	DOX	24R			
MCW_CT_ROA_226	H3K9me3	Ind2	VEH	24R			
MCW_CT_ROA_227	H3K9me3	Ind2	5FU	144R			
MCW_CT_ROA_228	H3K9me3	Ind2	DOX	144R			
MCW_CT_ROA_229	H3K9me3	Ind2	VEH	144R			
MCW_CT_ROA_231	H3K9me3	Ind3	DOX	24T			
MCW_CT_ROA_232	H3K9me3	Ind3	VEH	24T			
MCW_CT_ROA_234	H3K9me3	Ind3	DOX	24R			
MCW_CT_ROA_235	H3K9me3	Ind3	VEH	24R			
MCW_CT_ROA_237	H3K9me3	Ind3	DOX	144R			
MCW_CT_ROA_238	H3K9me3	Ind3	VEH	144R			
MCW_CT_ROA_240	H3K9me3	Ind4	DOX	24T			
MCW_CT_ROA_241	H3K9me3	Ind4	VEH	24T			
MCW_CT_ROA_243	H3K9me3	Ind4	DOX	24R			
MCW_CT_ROA_244	H3K9me3	Ind4	VEH	24R			
MCW_CT_ROA_246	H3K9me3	Ind4	DOX	144R			
MCW_CT_ROA_247	H3K9me3	Ind4	VEH	144R			
MCW_CT_ROA_249	H3K9me3	Ind5	DOX	24T			
MCW_CT_ROA_250	H3K9me3	Ind5	VEH	24T			
MCW_CT_ROA_252	H3K9me3	Ind5	DOX	24R			
MCW_CT_ROA_253	H3K9me3	Ind5	VEH	24R			
MCW_CT_ROA_255	H3K9me3	Ind5	DOX	144R			
MCW_CT_ROA_256	H3K9me3	Ind5	VEH	144R			
H3K9me3_all	H3K9me3	ALL	ALL	ALL	#DIV/0!	#DIV/0!	#DIV/0!
