Library ID	Histone_Mark	Individual	Treatment	Timepoint	npeaks	lpeaks	avelpeaks
MCW_CT_ROA_78	H3K27ac	Ind1	DOX	24T	2.4	2.4	5.1
MCW_CT_ROA_79	H3K27ac	Ind1	VEH	24T	2.6	2.6	NA
MCW_CT_ROA_80	H3K27ac	Ind1	5FU	24R	NA	2.6	NA
MCW_CT_ROA_81	H3K27ac	Ind1	DOX	24R	1.4	1.4	5.6
MCW_CT_ROA_082	H3K27ac	Ind1	VEH	24R	1.2	1.4	3.5
MCW_CT_ROA_83	H3K27ac	Ind1	5FU	144R	2	2	5
MCW_CT_ROA_84	H3K27ac	Ind1	DOX	144R	2.8	2.7	NA
MCW_CT_ROA_85	H3K27ac	Ind1	VEH	144R	2.1	2.1	4
MCW_CT_ROA_86	H3K27ac	Ind2	5FU	24T	1.8	1.8	4
MCW_CT_ROA_87	H3K27ac	Ind2	DOX	24T	2.1	2.1	NA
MCW_CT_ROA_88	H3K27ac	Ind2	VEH	24T	1.8	1.8	3
MCW_CT_ROA_89	H3K27ac	Ind2	5FU	24R	2	2	2.6
MCW_CT_ROA_090	H3K27ac	Ind2	DOX	24R	2.4	2.4	5
MCW_CT_ROA_091	H3K27ac	Ind2	VEH	24R	2.1	2.1	3
MCW_CT_ROA_093	H3K27ac	Ind2	DOX	144R	2.2	2.2	4.2
MCW_CT_ROA_94	H3K27ac	Ind2	VEH	144R	1.8	1.8	2.6
MCW_CT_ROA_95	H3K27ac	Ind3	5FU	24T	2.4	2.4	3.5
MCW_CT_ROA_96	H3K27ac	Ind3	DOX	24T	2.6	2.6	NA
MCW_CT_ROA_97	H3K27ac	Ind3	VEH	24T	1.8	1.8	2.7
MCW_CT_ROA_99	H3K27ac	Ind3	DOX	24R	2.4	2.4	2.4
MCW_CT_ROA_100	H3K27ac	Ind3	VEH	24R	2.5	2.5	3.3
MCW_CT_ROA_101	H3K27ac	Ind3	5FU	144R	1.8	1.8	1.8
MCW_CT_ROA_102	H3K27ac	Ind3	DOX	144R	2.1	2.1	3.3
MCW_CT_ROA_103	H3K27ac	Ind3	VEH	144R	2.1	2.1	2.1
MCW_CT_ROA_105	H3K27ac	Ind4	DOX	24T	2.1	2.1	NA
MCW_CT_ROA_106	H3K27ac	Ind4	VEH	24T	1.8	1.8	4
MCW_CT_ROA_107	H3K27ac	Ind4	5FU	24R	2.1	2.1	4.4
MCW_CT_ROA_108	H3K27ac	Ind4	DOX	24R	2.1	2.1	NA
MCW_CT_ROA_109	H3K27ac	Ind4	VEH	24R	2.7	2.7	NA
MCW_CT_ROA_111	H3K27ac	Ind4	DOX	144R	2.1	2.1	4.4
MCW_CT_ROA_112	H3K27ac	Ind4	VEH	144R	1.8	1.8	3
MCW_CT_ROA_113	H3K27ac	Ind5	5FU	24T	4.8	2.8	NA
MCW_CT_ROA_114	H3K27ac	Ind5	DOX	24T	NA	3.6	NA
MCW_CT_ROA_115	H3K27ac	Ind5	VEH	24T	3	2.4	5
MCW_CT_ROA_116	H3K27ac	Ind5	5FU	24R	2.5	2.5	NA
MCW_CT_ROA_117	H3K27ac	Ind5	DOX	24R	2.8	2.8	6
MCW_CT_ROA_118	H3K27ac	Ind5	VEH	24R	2.8	2.8	6
MCW_CT_ROA_119	H3K27ac	Ind5	5FU	144R	3	2	NA
MCW_CT_ROA_120	H3K27ac	Ind5	DOX	144R	NA	4.1	NA
MCW_CT_ROA_121	H3K27ac	Ind5	VEH	144R	3	3	NA
H3K27ac_all	H3K27ac	ALL	ALL	ALL	2.297297297	2.295	3.826923077
MCW_CT_ROA_167	H3K36me3	Ind1	5FU	24T	2.5	1.5	NA
MCW_CT_ROA_169	H3K36me3	Ind1	VEH	24T	3.1	2	NA
MCW_CT_ROA_171	H3K36me3	Ind1	DOX	24R	2	2.1	1.8
MCW_CT_ROA_172	H3K36me3	Ind1	VEH	24R	2.5	1.5	NA
MCW_CT_ROA_173	H3K36me3	Ind1	5FU	144R	3	2.1	3
MCW_CT_ROA_174	H3K36me3	Ind1	DOX	144R	2	1.2	NA
MCW_CT_ROA_175	H3K36me3	Ind1	VEH	144R	2.5	NA	NA
MCW_CT_ROA_177	H3K36me3	Ind2	DOX	24T	2.1	2.1	NA
