Sample	Top over-represented sequence	Sum of remaining over-represented sequences
MCW_CT_ROA_082_R1_trim	0.0	0.0
MCW_CT_ROA_082_R2_trim	0.0	0.0
MCW_CT_ROA_090_R1_trim	0.0	0.0
MCW_CT_ROA_090_R2_trim	0.0	0.0
MCW_CT_ROA_091_R1_trim	0.0	0.0
MCW_CT_ROA_091_R2_trim	0.0	0.0
MCW_CT_ROA_093_R1_trim	0.0	0.0
MCW_CT_ROA_093_R2_trim	0.0	0.0
MCW_CT_ROA_100_R1_trim	0.0	0.0
MCW_CT_ROA_100_R2_trim	0.0	0.0
MCW_CT_ROA_101_R1_trim	0.0	0.0
MCW_CT_ROA_101_R2_trim	0.0	0.0
MCW_CT_ROA_102_R1_trim	0.0	0.0
MCW_CT_ROA_102_R2_trim	0.0	0.0
MCW_CT_ROA_103_R1_trim	0.0	0.0
MCW_CT_ROA_103_R2_trim	0.0	0.0
MCW_CT_ROA_105_R1_trim	0.0	0.0
MCW_CT_ROA_105_R2_trim	0.0	0.0
MCW_CT_ROA_106_R1_trim	0.0	0.0
MCW_CT_ROA_106_R2_trim	0.0	0.0
MCW_CT_ROA_107_R1_trim	0.0	0.0
MCW_CT_ROA_107_R2_trim	0.0	0.0
MCW_CT_ROA_108_R1_trim	0.0	0.0
MCW_CT_ROA_108_R2_trim	0.0	0.0
MCW_CT_ROA_109_R1_trim	0.0	0.0
MCW_CT_ROA_109_R2_trim	0.0	0.0
MCW_CT_ROA_111_R1_trim	0.0	0.0
MCW_CT_ROA_111_R2_trim	0.0	0.0
MCW_CT_ROA_112_R1_trim	0.0	0.0
MCW_CT_ROA_112_R2_trim	0.0	0.0
MCW_CT_ROA_113_R1_trim	0.0	0.0
MCW_CT_ROA_113_R2_trim	0.0	0.0
MCW_CT_ROA_114_R1_trim	0.0	0.0
MCW_CT_ROA_114_R2_trim	0.0	0.0
MCW_CT_ROA_115_R1_trim	0.0	0.0
MCW_CT_ROA_115_R2_trim	0.0	0.0
MCW_CT_ROA_116_R1_trim	0.0	0.0
MCW_CT_ROA_116_R2_trim	0.0	0.0
MCW_CT_ROA_117_R1_trim	0.0	0.0
