Sample	Unique Reads	Duplicate Reads
MCW_CT_ROA_082_R1_trim	6576943.0	2253091.0
MCW_CT_ROA_082_R2_trim	6917765.0	1912269.0
MCW_CT_ROA_090_R1_trim	8024916.0	8553788.0
MCW_CT_ROA_090_R2_trim	8407768.0	8170936.0
MCW_CT_ROA_091_R1_trim	6814238.0	2756232.0
MCW_CT_ROA_091_R2_trim	7200076.0	2370394.0
MCW_CT_ROA_093_R1_trim	5684924.0	5049053.0
MCW_CT_ROA_093_R2_trim	6568578.0	4165399.0
MCW_CT_ROA_100_R1_trim	4595460.0	5050944.0
MCW_CT_ROA_100_R2_trim	4984233.0	4662171.0
MCW_CT_ROA_101_R1_trim	4367941.0	1603310.0
MCW_CT_ROA_101_R2_trim	4480596.0	1490655.0
MCW_CT_ROA_102_R1_trim	4858512.0	4136016.0
MCW_CT_ROA_102_R2_trim	5341518.0	3653010.0
MCW_CT_ROA_103_R1_trim	3511299.0	1152300.0
MCW_CT_ROA_103_R2_trim	3606527.0	1057072.0
MCW_CT_ROA_105_R1_trim	6839874.0	3570432.0
MCW_CT_ROA_105_R2_trim	7433244.0	2977062.0
MCW_CT_ROA_106_R1_trim	9172537.0	7267101.0
MCW_CT_ROA_106_R2_trim	9231705.0	7207933.0
MCW_CT_ROA_107_R1_trim	8522105.0	5572359.0
MCW_CT_ROA_107_R2_trim	9015209.0	5079255.0
MCW_CT_ROA_108_R1_trim	7632515.0	10627357.0
MCW_CT_ROA_108_R2_trim	9244348.0	9015524.0
MCW_CT_ROA_109_R1_trim	5896093.0	7793175.0
MCW_CT_ROA_109_R2_trim	6974885.0	6714383.0
MCW_CT_ROA_111_R1_trim	7647484.0	4262759.0
MCW_CT_ROA_111_R2_trim	8549040.0	3361203.0
MCW_CT_ROA_112_R1_trim	8971650.0	3831762.0
MCW_CT_ROA_112_R2_trim	9766227.0	3037185.0
MCW_CT_ROA_113_R1_trim	4256650.0	7954427.0
MCW_CT_ROA_113_R2_trim	4799905.0	7411172.0
MCW_CT_ROA_114_R1_trim	2854608.0	6267451.0
MCW_CT_ROA_114_R2_trim	3397232.0	5724827.0
MCW_CT_ROA_115_R1_trim	5435489.0	6267382.0
MCW_CT_ROA_115_R2_trim	5898913.0	5803958.0
MCW_CT_ROA_116_R1_trim	4483493.0	6819512.0
MCW_CT_ROA_116_R2_trim	5272803.0	6030202.0
MCW_CT_ROA_117_R1_trim	3605227.0	5234482.0
MCW_CT_ROA_117_R2_trim	3970635.0	4869074.0
MCW_CT_ROA_118_R1_trim	4513357.0	5855294.0
MCW_CT_ROA_118_R2_trim	5216038.0	5152613.0
MCW_CT_ROA_119_R1_trim	4539023.0	6139003.0
MCW_CT_ROA_119_R2_trim	4898663.0	5779363.0
MCW_CT_ROA_120_R1_trim	3423163.0	5391033.0
MCW_CT_ROA_120_R2_trim	3997321.0	4816875.0
MCW_CT_ROA_121_R1_trim	4469893.0	10377272.0
MCW_CT_ROA_121_R2_trim	5027112.0	9820053.0
MCW_CT_ROA_123_R1_trim	11584823.0	2569017.0
MCW_CT_ROA_123_R2_trim	11924478.0	2229362.0
MCW_CT_ROA_124_R1_trim	4898682.0	964271.0
MCW_CT_ROA_124_R2_trim	5023575.0	839378.0
MCW_CT_ROA_125_R1_trim	9924619.0	3684627.0
MCW_CT_ROA_125_R2_trim	10380017.0	3229229.0
MCW_CT_ROA_126_R1_trim	6775628.0	3041421.0
MCW_CT_ROA_126_R2_trim	6848637.0	2968412.0
MCW_CT_ROA_127_R1_trim	7089364.0	1980398.0
MCW_CT_ROA_127_R2_trim	7455372.0	1614390.0
MCW_CT_ROA_130_R1_trim	7394861.0	2641868.0
MCW_CT_ROA_130_R2_trim	7703519.0	2333210.0
MCW_CT_ROA_132_R1_trim	8531313.0	2422510.0
MCW_CT_ROA_132_R2_trim	8672130.0	2281693.0
MCW_CT_ROA_133_R1_trim	6437873.0	2303565.0
MCW_CT_ROA_133_R2_trim	6617130.0	2124308.0
MCW_CT_ROA_135_R1_trim	5685072.0	1263467.0
MCW_CT_ROA_135_R2_trim	5824527.0	1124012.0
MCW_CT_ROA_136_R1_trim	7848773.0	2871938.0
MCW_CT_ROA_136_R2_trim	8086598.0	2634113.0
MCW_CT_ROA_138_R1_trim	7134126.0	3311980.0
MCW_CT_ROA_138_R2_trim	7429286.0	3016820.0
MCW_CT_ROA_139_R1_trim	6034255.0	4727920.0
MCW_CT_ROA_139_R2_trim	6836739.0	3925436.0
MCW_CT_ROA_140_R1_trim	5578105.0	3142364.0
MCW_CT_ROA_140_R2_trim	6222763.0	2497706.0
MCW_CT_ROA_141_R1_trim	7453962.0	4739559.0
MCW_CT_ROA_141_R2_trim	8141935.0	4051586.0
MCW_CT_ROA_142_R1_trim	4935052.0	2448617.0
MCW_CT_ROA_142_R2_trim	5225320.0	2158349.0
MCW_CT_ROA_144_R1_trim	5665072.0	1771344.0
MCW_CT_ROA_144_R2_trim	5863326.0	1573090.0
MCW_CT_ROA_145_R1_trim	6167096.0	4214744.0
MCW_CT_ROA_145_R2_trim	6519388.0	3862452.0
MCW_CT_ROA_146_R1_trim	7173206.0	5277759.0
MCW_CT_ROA_146_R2_trim	7917060.0	4533905.0
MCW_CT_ROA_147_R1_trim	5586866.0	2040765.0
MCW_CT_ROA_147_R2_trim	6008992.0	1618639.0
MCW_CT_ROA_148_R1_trim	5623467.0	2618666.0
MCW_CT_ROA_148_R2_trim	5940211.0	2301922.0
MCW_CT_ROA_149_R1_trim	9467823.0	7231548.0
MCW_CT_ROA_149_R2_trim	9930243.0	6769128.0
MCW_CT_ROA_150_R1_trim	5123484.0	2689757.0
MCW_CT_ROA_150_R2_trim	5347016.0	2466225.0
MCW_CT_ROA_151_R1_trim	2415497.0	965835.0
MCW_CT_ROA_151_R2_trim	2444141.0	937191.0
MCW_CT_ROA_153_R1_trim	8729848.0	8551335.0
MCW_CT_ROA_153_R2_trim	9493404.0	7787779.0
MCW_CT_ROA_154_R1_trim	5318341.0	1670616.0
MCW_CT_ROA_154_R2_trim	5466163.0	1522794.0
MCW_CT_ROA_156_R1_trim	5994291.0	5956660.0
MCW_CT_ROA_156_R2_trim	6387873.0	5563078.0
MCW_CT_ROA_157_R1_trim	9714493.0	4271627.0
MCW_CT_ROA_157_R2_trim	9851762.0	4134358.0
MCW_CT_ROA_158_R1_trim	6649766.0	1966324.0
MCW_CT_ROA_158_R2_trim	6846462.0	1769628.0
MCW_CT_ROA_159_R1_trim	5200029.0	2934821.0
MCW_CT_ROA_159_R2_trim	5516421.0	2618429.0
MCW_CT_ROA_160_R1_trim	5903048.0	2423931.0
MCW_CT_ROA_160_R2_trim	6179348.0	2147631.0
MCW_CT_ROA_162_R1_trim	2500535.0	2923789.0
MCW_CT_ROA_162_R2_trim	2708508.0	2715816.0
MCW_CT_ROA_163_R1_trim	2909653.0	4045213.0
MCW_CT_ROA_163_R2_trim	3501977.0	3452889.0
MCW_CT_ROA_165_R1_trim	3455273.0	3340915.0
MCW_CT_ROA_165_R2_trim	3829842.0	2966346.0
MCW_CT_ROA_166_R1_trim	4859065.0	5041859.0
MCW_CT_ROA_166_R2_trim	5809245.0	4091679.0
MCW_CT_ROA_167_R1_trim	3831136.0	6423301.0
MCW_CT_ROA_167_R2_trim	4295234.0	5959203.0
MCW_CT_ROA_169_R1_trim	3954623.0	8406676.0
MCW_CT_ROA_169_R2_trim	5087540.0	7273759.0
MCW_CT_ROA_171_R1_trim	7053918.0	7995109.0
MCW_CT_ROA_171_R2_trim	7489947.0	7559080.0
MCW_CT_ROA_172_R1_trim	3041536.0	8082602.0
MCW_CT_ROA_172_R2_trim	3384748.0	7739390.0
MCW_CT_ROA_173_R1_trim	5911897.0	6908470.0
MCW_CT_ROA_173_R2_trim	6497349.0	6323018.0
MCW_CT_ROA_174_R1_trim	3746229.0	1892119.0
MCW_CT_ROA_174_R2_trim	3828137.0	1810211.0
MCW_CT_ROA_175_R1_trim	523987.0	210850.0
MCW_CT_ROA_175_R2_trim	525404.0	209433.0
MCW_CT_ROA_177_R1_trim	3820799.0	6445951.0
MCW_CT_ROA_177_R2_trim	4282995.0	5983755.0
MCW_CT_ROA_178_R1_trim	4112667.0	5938482.0
MCW_CT_ROA_178_R2_trim	4438077.0	5613072.0
MCW_CT_ROA_180_R1_trim	5529813.0	8908082.0
MCW_CT_ROA_180_R2_trim	6010682.0	8427213.0
MCW_CT_ROA_181_R1_trim	5864476.0	7117562.0
MCW_CT_ROA_181_R2_trim	6682537.0	6299501.0
MCW_CT_ROA_183_R1_trim	4019891.0	7052066.0
MCW_CT_ROA_183_R2_trim	4286276.0	6785681.0
MCW_CT_ROA_184_R1_trim	5082817.0	5673167.0
MCW_CT_ROA_184_R2_trim	5095701.0	5660283.0
MCW_CT_ROA_185_R1_trim	3452518.0	6918982.0
MCW_CT_ROA_185_R2_trim	3771443.0	6600057.0
MCW_CT_ROA_186_R1_trim	5699385.0	5201117.0
MCW_CT_ROA_186_R2_trim	6125497.0	4775005.0
MCW_CT_ROA_189_R1_trim	3404926.0	5614019.0
MCW_CT_ROA_189_R2_trim	3933478.0	5085467.0
MCW_CT_ROA_190_R1_trim	3169752.0	7730814.0
MCW_CT_ROA_190_R2_trim	3192261.0	7708305.0
MCW_CT_ROA_192_R1_trim	2926018.0	6691297.0
MCW_CT_ROA_192_R2_trim	3726493.0	5890822.0
MCW_CT_ROA_193_R1_trim	3972004.0	3931835.0
MCW_CT_ROA_193_R2_trim	4254655.0	3649184.0
MCW_CT_ROA_194_R1_trim	5013859.0	8324968.0
MCW_CT_ROA_194_R2_trim	5382574.0	7956253.0
MCW_CT_ROA_195_R1_trim	4510466.0	9946896.0
MCW_CT_ROA_195_R2_trim	5185794.0	9271568.0
