Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MCW_CT_ROA_082_R1_trim	MCW_CT_ROA_082_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8830034.0	0.0	1-75	52.0	74.48377471944583	70.04950105514882	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
MCW_CT_ROA_082_R2_trim	MCW_CT_ROA_082_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8830034.0	0.0	1-75	51.0	78.34357846486627	70.00184416050946	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
MCW_CT_ROA_090_R1_trim	MCW_CT_ROA_090_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16578704.0	0.0	1-75	50.0	48.4049615310014	70.78322382738723	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
MCW_CT_ROA_090_R2_trim	MCW_CT_ROA_090_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16578704.0	0.0	1-75	49.0	50.71426068793144	70.75134160064623	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	pass
MCW_CT_ROA_091_R1_trim	MCW_CT_ROA_091_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9570470.0	0.0	1-75	52.0	71.2006559836618	71.93379969844742	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
MCW_CT_ROA_091_R2_trim	MCW_CT_ROA_091_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9570470.0	0.0	1-75	52.0	75.23220789764027	71.88987562784273	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
MCW_CT_ROA_093_R1_trim	MCW_CT_ROA_093_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10733977.0	0.0	1-75	52.0	52.96195269803993	71.21410507959911	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
MCW_CT_ROA_093_R2_trim	MCW_CT_ROA_093_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10733977.0	0.0	1-75	52.0	61.19425584010093	71.20853361247187	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
MCW_CT_ROA_100_R1_trim	MCW_CT_ROA_100_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9646404.0	0.0	1-75	50.0	47.63909474909025	70.99450365130882	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
MCW_CT_ROA_100_R2_trim	MCW_CT_ROA_100_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9646404.0	0.0	1-75	50.0	51.6693331273103	70.94970104922	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	pass
