Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MCW_CT_ROA_082_R1_trim	25.516225280554167	52.0	70.04950105514882	18.181818181818183	8830034.0
MCW_CT_ROA_082_R2_trim	21.65642153513373	51.0	70.00184416050946	9.090909090909092	8830034.0
MCW_CT_ROA_090_R1_trim	51.5950384689986	50.0	70.78322382738723	18.181818181818183	16578704.0
MCW_CT_ROA_090_R2_trim	49.28573931206856	49.0	70.75134160064623	9.090909090909092	16578704.0
MCW_CT_ROA_091_R1_trim	28.799344016338196	52.0	71.93379969844742	9.090909090909092	9570470.0
MCW_CT_ROA_091_R2_trim	24.767792102359735	52.0	71.88987562784273	9.090909090909092	9570470.0
MCW_CT_ROA_093_R1_trim	47.03804730196007	52.0	71.21410507959911	9.090909090909092	10733977.0
MCW_CT_ROA_093_R2_trim	38.80574415989907	52.0	71.20853361247187	9.090909090909092	10733977.0
MCW_CT_ROA_100_R1_trim	52.36090525090975	50.0	70.99450365130882	27.27272727272727	9646404.0
MCW_CT_ROA_100_R2_trim	48.3306668726897	50.0	70.94970104922	9.090909090909092	9646404.0
MCW_CT_ROA_101_R1_trim	26.850500552248064	50.0	71.6077853702683	18.181818181818183	5971251.0
MCW_CT_ROA_101_R2_trim	24.963871476013296	50.0	71.57006932048243	9.090909090909092	5971251.0
MCW_CT_ROA_102_R1_trim	45.983701259776296	50.0	71.37048947982596	18.181818181818183	8994528.0
MCW_CT_ROA_102_R2_trim	40.61369662915817	50.0	71.34909513873323	9.090909090909092	8994528.0
MCW_CT_ROA_103_R1_trim	24.708396510526697	50.0	71.46959719306913	27.27272727272727	4663599.0
MCW_CT_ROA_103_R2_trim	22.666463667822256	49.0	71.43402380865079	9.090909090909092	4663599.0
MCW_CT_ROA_105_R1_trim	34.297090204499796	51.0	70.3487811021117	18.181818181818183	10410306.0
MCW_CT_ROA_105_R2_trim	28.597262294110408	51.0	70.36182855720091	9.090909090909092	10410306.0
MCW_CT_ROA_106_R1_trim	44.204752180443165	55.0	61.786009156649314	18.181818181818183	16439638.0
MCW_CT_ROA_106_R2_trim	43.84484120046004	55.0	61.839704256261605	9.090909090909092	16439638.0
MCW_CT_ROA_107_R1_trim	39.535799373206736	55.0	67.63537258316457	18.181818181818183	14094464.0
MCW_CT_ROA_107_R2_trim	36.037237013575165	55.0	67.59850094334911	9.090909090909092	14094464.0
MCW_CT_ROA_108_R1_trim	58.200615543377126	54.0	65.68374028032618	27.27272727272727	18259872.0
MCW_CT_ROA_108_R2_trim	49.37342456758406	53.0	65.78994923951274	9.090909090909092	18259872.0
MCW_CT_ROA_109_R1_trim	56.92908688048367	55.0	67.27552444732618	27.27272727272727	13689268.0
MCW_CT_ROA_109_R2_trim	49.0485228788386	54.0	67.29941820117774	9.090909090909092	13689268.0
MCW_CT_ROA_111_R1_trim	35.79069948980553	53.0	70.3886160844913	9.090909090909092	11910243.0
MCW_CT_ROA_111_R2_trim	28.22111231990712	53.0	70.39368869300148	9.090909090909092	11910243.0
MCW_CT_ROA_112_R1_trim	29.927668658983038	53.0	69.81030447196419	18.181818181818183	12803412.0
MCW_CT_ROA_112_R2_trim	23.7216895981348	53.0	69.79794354817294	9.090909090909092	12803412.0
MCW_CT_ROA_113_R1_trim	65.14107792955465	52.0	67.3891840989947	36.36363636363637	12211077.0
MCW_CT_ROA_113_R2_trim	60.692208460536406	51.0	67.40075588746186	18.181818181818183	12211077.0
MCW_CT_ROA_114_R1_trim	68.70654490952344	49.0	69.97409488362221	27.27272727272727	9122059.0
MCW_CT_ROA_114_R2_trim	62.75805760477884	49.0	69.94473067977306	18.181818181818183	9122059.0
MCW_CT_ROA_115_R1_trim	53.55423223742367	47.0	70.15564761843483	27.27272727272727	11702871.0
MCW_CT_ROA_115_R2_trim	49.59431248513749	47.0	70.14765641695956	9.090909090909092	11702871.0
MCW_CT_ROA_116_R1_trim	60.33362429694552	52.0	70.64911198393702	36.36363636363637	11303005.0
MCW_CT_ROA_116_R2_trim	53.3504388170809	52.0	70.6379860930788	27.27272727272727	11303005.0
MCW_CT_ROA_117_R1_trim	59.215546619642254	49.0	70.52375547656602	27.27272727272727	8839709.0
MCW_CT_ROA_117_R2_trim	55.08183959276881	49.0	70.49129943078442	18.181818181818183	8839709.0
MCW_CT_ROA_118_R1_trim	56.47113489451927	51.0	69.91392978700894	27.27272727272727	10368651.0
MCW_CT_ROA_118_R2_trim	49.69415078422214	50.0	69.94727125061881	18.181818181818183	10368651.0
MCW_CT_ROA_119_R1_trim	57.49193106217136	51.0	69.56629137258142	36.36363636363637	10678026.0
MCW_CT_ROA_119_R2_trim	54.12389125318751	51.0	69.55362461188987	27.27272727272727	10678026.0
MCW_CT_ROA_120_R1_trim	61.163077121227104	50.0	70.08431988578425	27.27272727272727	8814196.0
MCW_CT_ROA_120_R2_trim	54.64906309687772	49.0	70.09610088089714	18.181818181818183	8814196.0
MCW_CT_ROA_121_R1_trim	69.89396341011253	49.0	69.5789345642754	27.27272727272727	14847165.0
MCW_CT_ROA_121_R2_trim	66.14093137687868	49.0	69.56648073891547	27.27272727272727	14847165.0
MCW_CT_ROA_123_R1_trim	18.15067466081939	51.0	68.33517900442565	9.090909090909092	14153840.0
MCW_CT_ROA_123_R2_trim	15.750937537121075	51.0	68.37520178269642	9.090909090909092	14153840.0
MCW_CT_ROA_124_R1_trim	16.446858119946313	52.0	72.05675672310524	9.090909090909092	5862953.0
MCW_CT_ROA_124_R2_trim	14.316654078708652	51.0	72.00678088328526	9.090909090909092	5862953.0
MCW_CT_ROA_125_R1_trim	27.07443985320252	56.0	67.46573719073048	9.090909090909092	13609246.0
MCW_CT_ROA_125_R2_trim	23.7282038873481	55.0	67.43451077304356	9.090909090909092	13609246.0
MCW_CT_ROA_126_R1_trim	30.98101304797241	53.0	61.200988402930456	18.181818181818183	9817049.0
MCW_CT_ROA_126_R2_trim	30.23732433879978	53.0	61.28996177975683	9.090909090909092	9817049.0
MCW_CT_ROA_127_R1_trim	21.835174883161727	52.0	71.65190133985875	9.090909090909092	9069762.0
MCW_CT_ROA_127_R2_trim	17.79969533609561	52.0	71.5790767166768	9.090909090909092	9069762.0
MCW_CT_ROA_130_R1_trim	26.322006210715045	50.0	71.91457176934836	9.090909090909092	10036729.0
MCW_CT_ROA_130_R2_trim	23.2467242040385	50.0	71.87581551718692	9.090909090909092	10036729.0
MCW_CT_ROA_132_R1_trim	22.11565975725493	49.0	71.67445867986	9.090909090909092	10953823.0
MCW_CT_ROA_132_R2_trim	20.830112817102844	48.0	71.64469099053362	9.090909090909092	10953823.0
MCW_CT_ROA_133_R1_trim	26.35224321791587	52.0	71.43886257615738	9.090909090909092	8741438.0
MCW_CT_ROA_133_R2_trim	24.30158562779758	52.0	71.42360742019791	9.090909090909092	8741438.0
MCW_CT_ROA_135_R1_trim	18.18320645469798	52.0	70.56315982395724	18.181818181818183	6948539.0
MCW_CT_ROA_135_R2_trim	16.17624043968854	52.0	70.53613658928877	9.090909090909092	6948539.0
MCW_CT_ROA_136_R1_trim	26.7886923231859	53.0	70.22951574760293	18.181818181818183	10720711.0
MCW_CT_ROA_136_R2_trim	24.570322344002832	52.0	70.18745342543046	9.090909090909092	10720711.0
MCW_CT_ROA_138_R1_trim	31.705409374862413	49.0	70.86855446421853	9.090909090909092	10446106.0
MCW_CT_ROA_138_R2_trim	28.879857589423736	49.0	70.83251692065924	9.090909090909092	10446106.0
MCW_CT_ROA_139_R1_trim	43.93090012781139	53.0	68.98765258881221	9.090909090909092	10762175.0
MCW_CT_ROA_139_R2_trim	36.47437592640531	53.0	68.97478455795414	9.090909090909092	10762175.0
MCW_CT_ROA_140_R1_trim	36.03435606384184	51.0	72.12520955008269	9.090909090909092	8720469.0
MCW_CT_ROA_140_R2_trim	28.641884701606912	51.0	72.07273003321266	9.090909090909092	8720469.0
MCW_CT_ROA_141_R1_trim	38.869492255043326	48.0	70.25664055525881	9.090909090909092	12193521.0
MCW_CT_ROA_141_R2_trim	33.227371317122504	48.0	70.24672496155951	9.090909090909092	12193521.0
MCW_CT_ROA_142_R1_trim	33.162612803950225	50.0	72.48310210005351	9.090909090909092	7383669.0
MCW_CT_ROA_142_R2_trim	29.23140241749202	50.0	72.43550950076445	9.090909090909092	7383669.0
MCW_CT_ROA_144_R1_trim	23.81986208387403	50.0	71.97042661411088	9.090909090909092	7436416.0
MCW_CT_ROA_144_R2_trim	21.1538739966213	50.0	71.9361082005095	9.090909090909092	7436416.0
MCW_CT_ROA_145_R1_trim	40.59727744422864	52.0	69.24075115779091	9.090909090909092	10381840.0
MCW_CT_ROA_145_R2_trim	37.20392794087603	52.0	69.20096206452806	9.090909090909092	10381840.0
MCW_CT_ROA_146_R1_trim	42.38835602983032	55.0	65.71041859004502	9.090909090909092	12450965.0
MCW_CT_ROA_146_R2_trim	36.41409248187926	55.0	65.71439627370248	9.090909090909092	12450965.0
