pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.86	43971	23769604	540.57
9.60	7.56	43971	23769604	540.57
9.30	7.26	43971	23769604	540.57
9.00	7.02	58370	29891774	512.11
8.70	6.77	58370	29891774	512.11
8.40	6.47	58370	29891774	512.11
8.10	6.17	58370	29891774	512.11
7.80	5.87	58370	29891774	512.11
7.50	5.70	80448	38839252	482.79
7.20	5.40	80448	38839252	482.79
6.90	5.10	80448	38839252	482.79
6.60	4.80	80448	38839252	482.79
6.30	4.63	114663	52331172	456.39
6.00	4.33	114663	52331172	456.39
5.70	4.03	114663	52331172	456.39
5.40	3.73	114663	52331172	456.39
5.10	3.57	165014	72539926	439.60
4.80	3.27	165014	72539926	439.60
4.50	2.97	165014	72539926	439.60
4.20	2.67	165014	72539926	439.60
3.90	2.50	235160	102230739	434.73
3.60	2.20	235160	102230739	434.73
3.30	1.90	235160	102230739	434.73
3.00	1.61	324900	144128935	443.61
2.70	1.43	324900	144128935	443.61
2.40	1.13	324900	144128935	443.61
2.10	0.83	324900	144128935	443.61
1.80	0.66	430007	201749841	469.18
1.50	0.36	430007	201749841	469.18
1.20	0.06	430007	201749841	469.18
0.90	0.00	551488	287582381	521.47
0.60	0.00	551488	287582381	521.47
