Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27ac	MCW_CT_ROA_093	16290627	16290627	16290627	10775912	.6614
H3K27ac	MCW_CT_ROA_102	12526176	12526176	12526176	6417515	.5123
H3K27ac	MCW_CT_ROA_111	16864711	16864711	16864711	10310430	.6113
H3K27ac	MCW_CT_ROA_120	11429729	11429729	11429729	6876316	.6016
H3K27ac	MCW_CT_ROA_84	14017946	14017946	14017946	7220875	.5151
H3K27ac	MCW_CT_ROA_090	24425565	24425565	24425565	14511450	.5941
H3K27ac	MCW_CT_ROA_108	25661164	25661164	25661164	15606933	.6081
H3K27ac	MCW_CT_ROA_117	11425002	11425002	11425002	6431486	.5629
H3K27ac	MCW_CT_ROA_81	15419630	15419630	15419630	7916669	.5134
H3K27ac	MCW_CT_ROA_99	11336532	11336532	11336532	5838262	.5149
H3K27ac	MCW_CT_ROA_105	15189125	15189125	15189125	8419595	.5543
H3K27ac	MCW_CT_ROA_114	12321900	12321900	12321900	7152475	.5804
H3K27ac	MCW_CT_ROA_78	10024375	10024375	10024375	4069096	.4059
H3K27ac	MCW_CT_ROA_87	15468199	15468199	15468199	8235975	.5324
H3K27ac	MCW_CT_ROA_96	10374605	10374605	10374605	4589780	.4424
H3K27ac	MCW_CT_ROA_103	6442421	6442421	6442421	2226459	.3455
H3K27ac	MCW_CT_ROA_112	19752515	19752515	19752515	11421821	.5782
H3K27ac	MCW_CT_ROA_121	11931420	11931420	11931420	6492292	.5441
H3K27ac	MCW_CT_ROA_85	28950934	28950934	28950934	17538624	.6058
H3K27ac	MCW_CT_ROA_94	11483141	11483141	11483141	4938547	.4300
H3K27ac	MCW_CT_ROA_082	13033621	13033621	13033621	6226717	.4777
H3K27ac	MCW_CT_ROA_091	14861839	14861839	14861839	7938050	.5341
H3K27ac	MCW_CT_ROA_100	11953903	11953903	11953903	6493861	.5432
H3K27ac	MCW_CT_ROA_109	18795368	18795368	18795368	12272040	.6529
H3K27ac	MCW_CT_ROA_118	12543194	12543194	12543194	6611786	.5271
H3K27ac	MCW_CT_ROA_106	22464815	22464815	22464815	13020530	.5795
H3K27ac	MCW_CT_ROA_115	17026687	17026687	17026687	6708760	.3940
H3K27ac	MCW_CT_ROA_79	23549573	23549573	23549573	14543367	.6175
H3K27ac	MCW_CT_ROA_88	9393006	9393006	9393006	4250719	.4525
H3K27ac	MCW_CT_ROA_97	8646212	8646212	8646212	3788412	.4381
