Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27ac	MCW_CT_ROA_093	16203923	16203923	16203923	10693367	.6599
H3K27ac	MCW_CT_ROA_102	12511188	12511188	12511188	6407076	.5121
H3K27ac	MCW_CT_ROA_111	16760839	16760839	16760839	10235057	.6106
H3K27ac	MCW_CT_ROA_120	11373341	11373341	11373341	6836389	.6010
H3K27ac	MCW_CT_ROA_84	13924470	13924470	13924470	7148971	.5134
H3K27ac	MCW_CT_ROA_090	24351201	24351201	24351201	14454400	.5935
H3K27ac	MCW_CT_ROA_108	25418852	25418852	25418852	15436243	.6072
H3K27ac	MCW_CT_ROA_117	11358196	11358196	11358196	6371122	.5609
H3K27ac	MCW_CT_ROA_81	15295660	15295660	15295660	7832829	.5120
H3K27ac	MCW_CT_ROA_99	11281708	11281708	11281708	5799410	.5140
H3K27ac	MCW_CT_ROA_105	15162005	15162005	15162005	8401250	.5540
H3K27ac	MCW_CT_ROA_114	12281308	12281308	12281308	7127944	.5803
H3K27ac	MCW_CT_ROA_78	9922613	9922613	9922613	4019748	.4051
H3K27ac	MCW_CT_ROA_87	15389637	15389637	15389637	8183816	.5317
H3K27ac	MCW_CT_ROA_96	10302073	10302073	10302073	4541871	.4408
H3K27ac	MCW_CT_ROA_103	6416589	6416589	6416589	2212713	.3448
H3K27ac	MCW_CT_ROA_112	19696389	19696389	19696389	11383477	.5779
H3K27ac	MCW_CT_ROA_121	11892862	11892862	11892862	6466590	.5437
H3K27ac	MCW_CT_ROA_85	28537386	28537386	28537386	17247640	.6043
H3K27ac	MCW_CT_ROA_94	11425147	11425147	11425147	4903488	.4291
H3K27ac	MCW_CT_ROA_082	12976265	12976265	12976265	6190689	.4770
H3K27ac	MCW_CT_ROA_091	14801033	14801033	14801033	7894376	.5333
H3K27ac	MCW_CT_ROA_100	11922135	11922135	11922135	6466926	.5424
H3K27ac	MCW_CT_ROA_109	18669916	18669916	18669916	12177588	.6522
H3K27ac	MCW_CT_ROA_118	12508486	12508486	12508486	6590218	.5268
H3K27ac	MCW_CT_ROA_106	22073729	22073729	22073729	12738955	.5771
H3K27ac	MCW_CT_ROA_115	16915461	16915461	16915461	6620375	.3913
H3K27ac	MCW_CT_ROA_79	23257045	23257045	23257045	14307203	.6151
H3K27ac	MCW_CT_ROA_88	9356238	9356238	9356238	4225479	.4516
H3K27ac	MCW_CT_ROA_97	8610054	8610054	8610054	3761734	.4369
