pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.55	6468	1269632	196.29
9.60	6.27	6826	1350354	197.83
9.30	6.04	7409	1460518	197.13
9.00	5.77	7854	1561810	198.86
8.70	5.50	8397	1690221	201.29
8.40	5.23	8970	1823907	203.33
8.10	4.96	9483	1954022	206.06
7.80	4.69	10213	2123893	207.96
7.50	4.51	11796	2391359	202.73
7.20	4.24	12686	2610878	205.81
6.90	3.98	13856	2871719	207.25
6.60	3.71	15035	3152349	209.67
6.30	3.45	16441	3479530	211.64
6.00	3.18	17611	3799713	215.76
5.70	3.04	23887	4784961	200.32
5.40	2.80	26590	5396833	202.96
5.10	2.54	29416	6083914	206.82
4.80	2.28	32718	6916611	211.40
4.50	2.02	36282	7891863	217.51
4.20	1.75	39578	8848547	223.57
3.90	1.68	67495	13702986	203.02
3.60	1.43	77072	16200006	210.19
3.30	1.17	87374	19157610	219.26
3.00	0.91	97131	22245328	229.02
2.70	0.65	106486	25592575	240.34
2.40	0.51	225676	52064394	230.70
2.10	0.40	259010	63904502	246.73
1.80	0.15	287532	76379995	265.64
1.50	0.00	309364	88820382	287.11
1.20	0.00	322681	99797655	309.28
0.90	0.00	166829	2735348907	16396.12
0.60	0.00	77735	2841746209	36556.84
0.30	0.00	24121	2888396740	119746.14
