Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18193047	18193047	18193047	15404308	.8467
H3K27me3	MCW_CT_ROA_147	13145636	13145636	13145636	10741283	.8170
H3K27me3	MCW_CT_ROA_156	20213412	20213412	20213412	16424713	.8125
H3K27me3	MCW_CT_ROA_165	11649631	11649631	11649631	9847614	.8453
H3K27me3	MCW_CT_ROA_126	16469893	16469893	16469893	11851785	.7196
H3K27me3	MCW_CT_ROA_135	11793957	11793957	11793957	9016936	.7645
H3K27me3	MCW_CT_ROA_144	12887578	12887578	12887578	10379149	.8053
H3K27me3	MCW_CT_ROA_153	28699966	28699966	28699966	25132499	.8756
H3K27me3	MCW_CT_ROA_162	9294970	9294970	9294970	7763542	.8352
H3K27me3	MCW_CT_ROA_123	23742005	23742005	23742005	19332570	.8142
H3K27me3	MCW_CT_ROA_132	19053334	19053334	19053334	16057015	.8427
H3K27me3	MCW_CT_ROA_141	21294062	21294062	21294062	18491134	.8683
H3K27me3	MCW_CT_ROA_150	13110325	13110325	13110325	10165743	.7753
H3K27me3	MCW_CT_ROA_159	14195944	14195944	14195944	11596059	.8168
H3K27me3	MCW_CT_ROA_130	17579428	17579428	17579428	14584778	.8296
H3K27me3	MCW_CT_ROA_139	18371339	18371339	18371339	15646746	.8516
H3K27me3	MCW_CT_ROA_148	14368054	14368054	14368054	11914994	.8292
H3K27me3	MCW_CT_ROA_157	23135714	23135714	23135714	19002210	.8213
H3K27me3	MCW_CT_ROA_166	16995391	16995391	16995391	14939108	.8790
H3K27me3	MCW_CT_ROA_127	15646950	15646950	15646950	13010817	.8315
H3K27me3	MCW_CT_ROA_136	18255178	18255178	18255178	15260185	.8359
H3K27me3	MCW_CT_ROA_145	17971380	17971380	17971380	15203312	.8459
H3K27me3	MCW_CT_ROA_154	11932284	11932284	11932284	9558866	.8010
H3K27me3	MCW_CT_ROA_163	11882614	11882614	11882614	10179083	.8566
H3K27me3	MCW_CT_ROA_124	10242417	10242417	10242417	7904157	.7717
H3K27me3	MCW_CT_ROA_133	15058624	15058624	15058624	12570075	.8347
H3K27me3	MCW_CT_ROA_142	12924506	12924506	12924506	10804986	.8360
H3K27me3	MCW_CT_ROA_151	5618466	5618466	5618466	4524123	.8052
H3K27me3	MCW_CT_ROA_160	14296236	14296236	14296236	11590175	.8107
