Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18046287	18046287	18046287	12659189	.7014
H3K27me3	MCW_CT_ROA_147	13094526	13094526	13094526	8728196	.6665
H3K27me3	MCW_CT_ROA_156	19766594	19766594	19766594	14335381	.7252
H3K27me3	MCW_CT_ROA_165	11615317	11615317	11615317	8598597	.7402
H3K27me3	MCW_CT_ROA_126	16230571	16230571	16230571	11637962	.7170
H3K27me3	MCW_CT_ROA_135	11742639	11742639	11742639	7076983	.6026
H3K27me3	MCW_CT_ROA_144	12833794	12833794	12833794	8445921	.6581
H3K27me3	MCW_CT_ROA_153	28445462	28445462	28445462	22881457	.8043
H3K27me3	MCW_CT_ROA_162	9228392	9228392	9228392	7702306	.8346
H3K27me3	MCW_CT_ROA_123	23647967	23647967	23647967	15898668	.6723
H3K27me3	MCW_CT_ROA_132	18978938	18978938	18978938	13224602	.6968
H3K27me3	MCW_CT_ROA_141	21220348	21220348	21220348	15484879	.7297
H3K27me3	MCW_CT_ROA_150	13009563	13009563	13009563	10082747	.7750
H3K27me3	MCW_CT_ROA_159	14098606	14098606	14098606	9184475	.6514
H3K27me3	MCW_CT_ROA_130	17498190	17498190	17498190	12119198	.6925
H3K27me3	MCW_CT_ROA_139	18187745	18187745	18187745	13437593	.7388
H3K27me3	MCW_CT_ROA_148	14285736	14285736	14285736	9851300	.6895
H3K27me3	MCW_CT_ROA_157	22818436	22818436	22818436	16387998	.7181
H3K27me3	MCW_CT_ROA_166	16953551	16953551	16953551	13414642	.7912
H3K27me3	MCW_CT_ROA_127	15555718	15555718	15555718	11176452	.7184
H3K27me3	MCW_CT_ROA_136	18181670	18181670	18181670	12831589	.7057
H3K27me3	MCW_CT_ROA_145	17755284	17755284	17755284	12772308	.7193
H3K27me3	MCW_CT_ROA_154	11852632	11852632	11852632	7757542	.6544
H3K27me3	MCW_CT_ROA_163	11778704	11778704	11778704	9088590	.7716
H3K27me3	MCW_CT_ROA_124	10190235	10190235	10190235	6492109	.6370
H3K27me3	MCW_CT_ROA_133	14981954	14981954	14981954	10514903	.7018
H3K27me3	MCW_CT_ROA_142	12894130	12894130	12894130	9089598	.7049
H3K27me3	MCW_CT_ROA_151	5531290	5531290	5531290	3352384	.6060
H3K27me3	MCW_CT_ROA_160	14236294	14236294	14236294	9151775	.6428
