pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.34	1729	303041	175.27
9.60	6.10	2018	354410	175.62
9.30	5.84	2312	408657	176.75
9.00	5.59	2678	474450	177.17
8.70	5.42	3584	623288	173.91
8.40	5.20	4110	716373	174.30
8.10	4.96	4776	834219	174.67
7.80	4.71	5618	983738	175.10
7.50	4.46	6440	1131839	175.75
7.20	4.23	9228	1592597	172.58
6.90	4.09	10766	1869467	173.65
6.60	3.86	12848	2245626	174.78
6.30	3.60	14715	2597300	176.51
6.00	3.35	16934	3021579	178.43
5.70	3.12	25838	4522907	175.05
5.40	3.02	31136	5502338	176.72
5.10	2.77	36640	6544030	178.60
4.80	2.52	42084	7625983	181.21
4.50	2.26	48122	8859162	184.10
4.20	2.10	81294	14737448	181.29
3.90	1.95	97062	17871176	184.12
3.60	1.70	111801	20955977	187.44
3.30	1.44	126756	24255924	191.36
3.00	1.18	141153	27632177	195.76
2.70	1.12	257061	50416570	196.13
2.40	0.87	298464	60213752	201.75
2.10	0.62	333137	69296685	208.01
1.80	0.35	363401	78164339	215.09
1.50	0.30	683590	154474019	225.97
1.20	0.06	765203	182383604	238.35
0.90	0.00	815139	205102446	251.62
0.60	0.00	388408	2583973332	6652.73
0.30	0.00	106062	2869009716	27050.31
