Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8333500	8333500	8333500	1412823	.1695
H3K36me3	MCW_CT_ROA_183	9168872	9168872	9168872	2039800	.2224
H3K36me3	MCW_CT_ROA_192	8973708	8973708	8973708	3740015	.4167
H3K36me3	MCW_CT_ROA_201	6705202	6705202	6705202	1250936	.1865
H3K36me3	MCW_CT_ROA_210	6539634	6539634	6539634	2449882	.3746
H3K36me3	MCW_CT_ROA_171	17452859	17452859	17452859	4326716	.2479
H3K36me3	MCW_CT_ROA_180	13350982	13350982	13350982	3182310	.2383
H3K36me3	MCW_CT_ROA_189	10078645	10078645	10078645	3825551	.3795
H3K36me3	MCW_CT_ROA_198	9204138	9204138	9204138	2412773	.2621
H3K36me3	MCW_CT_ROA_207	11143359	11143359	11143359	5687667	.5104
H3K36me3	MCW_CT_ROA_177	9966051	9966051	9966051	4082217	.4096
H3K36me3	MCW_CT_ROA_186	14201025	14201025	14201025	4191128	.2951
H3K36me3	MCW_CT_ROA_195	12196097	12196097	12196097	3681351	.3018
H3K36me3	MCW_CT_ROA_204	16582037	16582037	16582037	7179965	.4329
H3K36me3	MCW_CT_ROA_175	951069	951069	951069	130753	.1374
H3K36me3	MCW_CT_ROA_184	9896280	9896280	9896280	2839776	.2869
H3K36me3	MCW_CT_ROA_193	8360401	8360401	8360401	1063627	.1272
H3K36me3	MCW_CT_ROA_202	6737939	6737939	6737939	2120062	.3146
H3K36me3	MCW_CT_ROA_211	8467005	8467005	8467005	2624315	.3099
H3K36me3	MCW_CT_ROA_172	7240342	7240342	7240342	1032016	.1425
H3K36me3	MCW_CT_ROA_181	13447374	13447374	13447374	2214575	.1646
H3K36me3	MCW_CT_ROA_190	9136538	9136538	9136538	3497200	.3827
H3K36me3	MCW_CT_ROA_199	5545665	5545665	5545665	644296	.1161
H3K36me3	MCW_CT_ROA_208	6603502	6603502	6603502	2304998	.3490
H3K36me3	MCW_CT_ROA_169	10590216	10590216	10590216	3739503	.3531
H3K36me3	MCW_CT_ROA_178	8211417	8211417	8211417	672532	.0819
H3K36me3	MCW_CT_ROA_196	9520493	9520493	9520493	1332644	.1399
H3K36me3	MCW_CT_ROA_205	14091056	14091056	14091056	6362207	.4515
