Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8306322	8306322	8306322	2073855	.2496
H3K36me3	MCW_CT_ROA_183	9060422	9060422	9060422	3016500	.3329
H3K36me3	MCW_CT_ROA_192	8934096	8934096	8934096	4870642	.5451
H3K36me3	MCW_CT_ROA_201	6684188	6684188	6684188	2055054	.3074
H3K36me3	MCW_CT_ROA_210	6507832	6507832	6507832	3236876	.4973
H3K36me3	MCW_CT_ROA_171	17331845	17331845	17331845	5793325	.3342
H3K36me3	MCW_CT_ROA_180	13279030	13279030	13279030	4153892	.3128
H3K36me3	MCW_CT_ROA_189	10048621	10048621	10048621	5104706	.5080
H3K36me3	MCW_CT_ROA_198	9019528	9019528	9019528	3194214	.3541
H3K36me3	MCW_CT_ROA_207	11097947	11097947	11097947	6855912	.6177
H3K36me3	MCW_CT_ROA_177	9875183	9875183	9875183	5228462	.5294
H3K36me3	MCW_CT_ROA_186	14123005	14123005	14123005	5562247	.3938
H3K36me3	MCW_CT_ROA_195	11985305	11985305	11985305	4811484	.4014
H3K36me3	MCW_CT_ROA_204	16553129	16553129	16553129	8671730	.5238
H3K36me3	MCW_CT_ROA_175	931943	931943	931943	122350	.1312
H3K36me3	MCW_CT_ROA_184	9838630	9838630	9838630	3939157	.4003
H3K36me3	MCW_CT_ROA_193	8337489	8337489	8337489	1644328	.1972
H3K36me3	MCW_CT_ROA_202	6650301	6650301	6650301	2073189	.3117
H3K36me3	MCW_CT_ROA_211	8389639	8389639	8389639	3580718	.4268
H3K36me3	MCW_CT_ROA_172	7174542	7174542	7174542	1882991	.2624
H3K36me3	MCW_CT_ROA_181	13384552	13384552	13384552	3176008	.2372
H3K36me3	MCW_CT_ROA_190	9075120	9075120	9075120	3468796	.3822
H3K36me3	MCW_CT_ROA_199	5519927	5519927	5519927	1244197	.2254
H3K36me3	MCW_CT_ROA_208	6564916	6564916	6564916	3221236	.4906
H3K36me3	MCW_CT_ROA_169	10547508	10547508	10547508	5017930	.4757
H3K36me3	MCW_CT_ROA_178	8109097	8109097	8109097	1444799	.1781
H3K36me3	MCW_CT_ROA_196	9446757	9446757	9446757	2359701	.2497
H3K36me3	MCW_CT_ROA_205	14028500	14028500	14028500	7770873	.5539
