pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.77	11406	2740521	240.27
9.60	6.47	11406	2740521	240.27
9.30	6.17	11406	2740521	240.27
9.00	5.90	20542	5188993	252.60
8.70	5.84	20542	5188993	252.60
8.40	5.54	20542	5188993	252.60
8.10	5.24	20542	5188993	252.60
7.80	4.94	20542	5188993	252.60
7.50	4.72	38038	10233608	269.04
7.20	4.62	38038	10233608	269.04
6.90	4.32	38038	10233608	269.04
6.60	4.02	38038	10233608	269.04
6.30	3.72	38038	10233608	269.04
6.00	3.62	73511	21363196	290.61
5.70	3.43	73511	21363196	290.61
5.40	3.13	73511	21363196	290.61
5.10	2.83	73511	21363196	290.61
4.80	2.60	148255	46909693	316.41
4.50	2.55	148255	46909693	316.41
4.20	2.25	148255	46909693	316.41
3.90	1.95	148255	46909693	316.41
3.60	1.69	317846	111100395	349.54
3.30	1.69	317846	111100395	349.54
3.00	1.41	317846	111100395	349.54
2.70	1.11	317846	111100395	349.54
2.40	0.90	704304	288499716	409.62
2.10	0.89	704304	288499716	409.62
1.80	0.59	704304	288499716	409.62
1.50	0.29	704304	288499716	409.62
1.20	0.26	1364017	811900571	595.23
0.90	0.12	1364017	811900571	595.23
