Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23011785	23011785	23011785	3359867	.1460
H3K9me3	MCW_CT_ROA_228	8321182	8321182	8321182	250019	.0300
H3K9me3	MCW_CT_ROA_237	19488272	19488272	19488272	3391155	.1740
H3K9me3	MCW_CT_ROA_246	16987504	16987504	16987504	4979618	.2931
H3K9me3	MCW_CT_ROA_255	10854362	10854362	10854362	3285673	.3027
H3K9me3	MCW_CT_ROA_225	11704740	11704740	11704740	685761	.0585
H3K9me3	MCW_CT_ROA_234	12629648	12629648	12629648	976740	.0773
H3K9me3	MCW_CT_ROA_243	15004746	15004746	15004746	2387394	.1591
H3K9me3	MCW_CT_ROA_252	16314870	16314870	16314870	1460536	.0895
H3K9me3	MCW_CT_ROA_213	19477841	19477841	19477841	1503057	.0771
H3K9me3	MCW_CT_ROA_222	24710461	24710461	24710461	5715866	.2313
H3K9me3	MCW_CT_ROA_231	9836023	9836023	9836023	2944250	.2993
H3K9me3	MCW_CT_ROA_240	18261730	18261730	18261730	2474127	.1354
H3K9me3	MCW_CT_ROA_249	14465523	14465523	14465523	1729329	.1195
H3K9me3	MCW_CT_ROA_220	21997160	21997160	21997160	2175545	.0989
H3K9me3	MCW_CT_ROA_229	15021314	15021314	15021314	1773649	.1180
H3K9me3	MCW_CT_ROA_238	13962889	13962889	13962889	2997437	.2146
H3K9me3	MCW_CT_ROA_247	14979888	14979888	14979888	4016528	.2681
H3K9me3	MCW_CT_ROA_256	13553148	13553148	13553148	575131	.0424
H3K9me3	MCW_CT_ROA_217	18736051	18736051	18736051	1824799	.0973
H3K9me3	MCW_CT_ROA_226	15496623	15496623	15496623	1741139	.1123
H3K9me3	MCW_CT_ROA_235	18649139	18649139	18649139	2179852	.1168
H3K9me3	MCW_CT_ROA_244	9993635	9993635	9993635	1650221	.1651
H3K9me3	MCW_CT_ROA_253	17324002	17324002	17324002	3545718	.2046
H3K9me3	MCW_CT_ROA_214	1743592	1743592	1743592	135127	.0774
H3K9me3	MCW_CT_ROA_223	17233554	17233554	17233554	3540769	.2054
H3K9me3	MCW_CT_ROA_232	12253630	12253630	12253630	789857	.0644
H3K9me3	MCW_CT_ROA_241	21646109	21646109	21646109	6242369	.2883
H3K9me3	MCW_CT_ROA_250	21237774	21237774	21237774	5848286	.2753
