Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23130869	23130869	23130869	17061840	.7376
H3K9me3	MCW_CT_ROA_228	8366054	8366054	8366054	3819227	.4565
H3K9me3	MCW_CT_ROA_237	19506776	19506776	19506776	14833542	.7604
H3K9me3	MCW_CT_ROA_246	17041750	17041750	17041750	12030715	.7059
H3K9me3	MCW_CT_ROA_255	10882096	10882096	10882096	7655525	.7034
H3K9me3	MCW_CT_ROA_225	11768048	11768048	11768048	6221636	.5286
H3K9me3	MCW_CT_ROA_234	12692624	12692624	12692624	6493631	.5116
H3K9me3	MCW_CT_ROA_243	15212314	15212314	15212314	9255717	.6084
H3K9me3	MCW_CT_ROA_252	16372424	16372424	16372424	10910466	.6663
H3K9me3	MCW_CT_ROA_213	19932945	19932945	19932945	10525047	.5280
H3K9me3	MCW_CT_ROA_222	24995209	24995209	24995209	16998998	.6800
H3K9me3	MCW_CT_ROA_231	9904669	9904669	9904669	6519321	.6582
H3K9me3	MCW_CT_ROA_240	18385836	18385836	18385836	10958212	.5960
H3K9me3	MCW_CT_ROA_249	14658547	14658547	14658547	9046913	.6171
H3K9me3	MCW_CT_ROA_220	22058010	22058010	22058010	14647895	.6640
H3K9me3	MCW_CT_ROA_229	15207032	15207032	15207032	8637402	.5679
H3K9me3	MCW_CT_ROA_238	14241113	14241113	14241113	10284583	.7221
H3K9me3	MCW_CT_ROA_247	15115900	15115900	15115900	9526513	.6302
H3K9me3	MCW_CT_ROA_256	13577790	13577790	13577790	7996640	.5889
H3K9me3	MCW_CT_ROA_217	19036055	19036055	19036055	11023054	.5790
H3K9me3	MCW_CT_ROA_226	15668183	15668183	15668183	8831042	.5636
H3K9me3	MCW_CT_ROA_235	18738729	18738729	18738729	12282116	.6554
H3K9me3	MCW_CT_ROA_244	10126335	10126335	10126335	7306791	.7215
H3K9me3	MCW_CT_ROA_253	17394858	17394858	17394858	12423736	.7142
H3K9me3	MCW_CT_ROA_214	1767796	1767796	1767796	936710	.5298
H3K9me3	MCW_CT_ROA_223	17545126	17545126	17545126	13222091	.7536
H3K9me3	MCW_CT_ROA_232	12381024	12381024	12381024	6839978	.5524
H3K9me3	MCW_CT_ROA_241	21802019	21802019	21802019	14817109	.6796
H3K9me3	MCW_CT_ROA_250	21432218	21432218	21432218	15801931	.7372
