Sample	Count
MCW_CT_ROA_78	202591
MCW_CT_ROA_79	168860
MCW_CT_ROA_81	140547
MCW_CT_ROA_082	95741
MCW_CT_ROA_84	234394
MCW_CT_ROA_85	137266
MCW_CT_ROA_87	163079
MCW_CT_ROA_88	76372
MCW_CT_ROA_090	204220
MCW_CT_ROA_091	123752
MCW_CT_ROA_093	168247
MCW_CT_ROA_94	94710
MCW_CT_ROA_96	107951
MCW_CT_ROA_97	72198
MCW_CT_ROA_99	87795
MCW_CT_ROA_100	112580
MCW_CT_ROA_102	118926
MCW_CT_ROA_103	46620
MCW_CT_ROA_105	139366
MCW_CT_ROA_106	157329
MCW_CT_ROA_108	246975
MCW_CT_ROA_109	164028
MCW_CT_ROA_111	132792
MCW_CT_ROA_112	100738
MCW_CT_ROA_114	235065
MCW_CT_ROA_115	264189
MCW_CT_ROA_117	152203
MCW_CT_ROA_118	155882
MCW_CT_ROA_120	220995
MCW_CT_ROA_121	165448
MCW_CT_ROA_169	193579
MCW_CT_ROA_171	135100
MCW_CT_ROA_172	82468
MCW_CT_ROA_174	50330
MCW_CT_ROA_175	23894
MCW_CT_ROA_177	155213
MCW_CT_ROA_178	56309
MCW_CT_ROA_180	92795
MCW_CT_ROA_181	83996
MCW_CT_ROA_183	100159
MCW_CT_ROA_184	119677
MCW_CT_ROA_186	133003
MCW_CT_ROA_189	167111
MCW_CT_ROA_190	218321
MCW_CT_ROA_192	169479
MCW_CT_ROA_193	42910
MCW_CT_ROA_195	136541
MCW_CT_ROA_196	89348
MCW_CT_ROA_198	93050
MCW_CT_ROA_199	45115
MCW_CT_ROA_201	80713
MCW_CT_ROA_202	168536
MCW_CT_ROA_204	287319
MCW_CT_ROA_205	187469
MCW_CT_ROA_207	250953
MCW_CT_ROA_208	118413
MCW_CT_ROA_210	122238
MCW_CT_ROA_211	115409
MCW_CT_ROA_123	117692
MCW_CT_ROA_124	58539
MCW_CT_ROA_126	154342
MCW_CT_ROA_127	65007
MCW_CT_ROA_130	88509
MCW_CT_ROA_132	100984
MCW_CT_ROA_133	111576
MCW_CT_ROA_135	76921
MCW_CT_ROA_136	147582
MCW_CT_ROA_138	109352
MCW_CT_ROA_139	162909
MCW_CT_ROA_141	127537
MCW_CT_ROA_142	58657
MCW_CT_ROA_144	78439
MCW_CT_ROA_145	178119
MCW_CT_ROA_147	59214
MCW_CT_ROA_148	100131
MCW_CT_ROA_150	117611
MCW_CT_ROA_151	67905
MCW_CT_ROA_153	175893
MCW_CT_ROA_154	85917
MCW_CT_ROA_156	133454
MCW_CT_ROA_157	142109
MCW_CT_ROA_159	122863
MCW_CT_ROA_160	120436
MCW_CT_ROA_162	185180
MCW_CT_ROA_163	149189
MCW_CT_ROA_165	112184
MCW_CT_ROA_166	115447
MCW_CT_ROA_213	64432
MCW_CT_ROA_214	18807
MCW_CT_ROA_217	76789
MCW_CT_ROA_219	134077
MCW_CT_ROA_220	79518
MCW_CT_ROA_222	196221
MCW_CT_ROA_223	174193
MCW_CT_ROA_225	33427
MCW_CT_ROA_226	73134
MCW_CT_ROA_228	14147
MCW_CT_ROA_229	76127
MCW_CT_ROA_231	218789
MCW_CT_ROA_232	43798
MCW_CT_ROA_234	47765
MCW_CT_ROA_235	77011
MCW_CT_ROA_237	122256
MCW_CT_ROA_238	170717
MCW_CT_ROA_240	95380
MCW_CT_ROA_241	180733
MCW_CT_ROA_243	90582
MCW_CT_ROA_244	70501
MCW_CT_ROA_246	172616
MCW_CT_ROA_247	118031
MCW_CT_ROA_249	77163
MCW_CT_ROA_250	241904
MCW_CT_ROA_252	58207
MCW_CT_ROA_253	166487
MCW_CT_ROA_255	183947
MCW_CT_ROA_256	24363
