Sample	Count
MCW_CT_ROA_78	203387
MCW_CT_ROA_79	173439
MCW_CT_ROA_81	141825
MCW_CT_ROA_082	95920
MCW_CT_ROA_84	236501
MCW_CT_ROA_85	138428
MCW_CT_ROA_87	163368
MCW_CT_ROA_88	76899
MCW_CT_ROA_090	204457
MCW_CT_ROA_091	124001
MCW_CT_ROA_093	169906
MCW_CT_ROA_94	94915
MCW_CT_ROA_96	109124
MCW_CT_ROA_97	72762
MCW_CT_ROA_99	88415
MCW_CT_ROA_100	113320
MCW_CT_ROA_102	118997
MCW_CT_ROA_103	46713
MCW_CT_ROA_105	139486
MCW_CT_ROA_106	160087
MCW_CT_ROA_108	248059
MCW_CT_ROA_109	164421
MCW_CT_ROA_111	133084
MCW_CT_ROA_112	100892
MCW_CT_ROA_114	235160
MCW_CT_ROA_115	267934
MCW_CT_ROA_117	153967
MCW_CT_ROA_118	156012
MCW_CT_ROA_120	221172
MCW_CT_ROA_121	165641
MCW_CT_ROA_169	193967
MCW_CT_ROA_171	136795
MCW_CT_ROA_172	84039
MCW_CT_ROA_174	50455
MCW_CT_ROA_175	25285
MCW_CT_ROA_177	155907
MCW_CT_ROA_178	57242
MCW_CT_ROA_180	93179
MCW_CT_ROA_181	85180
MCW_CT_ROA_183	101721
MCW_CT_ROA_184	120173
MCW_CT_ROA_186	134302
MCW_CT_ROA_189	167371
MCW_CT_ROA_190	218927
MCW_CT_ROA_192	169743
MCW_CT_ROA_193	43012
MCW_CT_ROA_195	138782
MCW_CT_ROA_196	90055
MCW_CT_ROA_198	96581
MCW_CT_ROA_199	45288
MCW_CT_ROA_201	81732
MCW_CT_ROA_202	171687
MCW_CT_ROA_204	289809
MCW_CT_ROA_205	187869
MCW_CT_ROA_207	251172
MCW_CT_ROA_208	120234
MCW_CT_ROA_210	123936
MCW_CT_ROA_211	116157
MCW_CT_ROA_123	118153
MCW_CT_ROA_124	58751
MCW_CT_ROA_126	157327
MCW_CT_ROA_127	65203
MCW_CT_ROA_130	89319
MCW_CT_ROA_132	101936
MCW_CT_ROA_133	111922
MCW_CT_ROA_135	77190
MCW_CT_ROA_136	147889
MCW_CT_ROA_138	111277
MCW_CT_ROA_139	163691
MCW_CT_ROA_141	127866
MCW_CT_ROA_142	58752
MCW_CT_ROA_144	79185
MCW_CT_ROA_145	180907
MCW_CT_ROA_147	59581
MCW_CT_ROA_148	101273
MCW_CT_ROA_150	118298
MCW_CT_ROA_151	69571
MCW_CT_ROA_153	176745
MCW_CT_ROA_154	86252
MCW_CT_ROA_156	136760
MCW_CT_ROA_157	143463
MCW_CT_ROA_159	124268
MCW_CT_ROA_160	120811
MCW_CT_ROA_162	187343
MCW_CT_ROA_163	151502
MCW_CT_ROA_165	113086
MCW_CT_ROA_166	116626
MCW_CT_ROA_213	68987
MCW_CT_ROA_214	19455
MCW_CT_ROA_217	80636
MCW_CT_ROA_219	135747
MCW_CT_ROA_220	79776
MCW_CT_ROA_222	203168
MCW_CT_ROA_223	179657
MCW_CT_ROA_225	33762
MCW_CT_ROA_226	74395
MCW_CT_ROA_228	14313
MCW_CT_ROA_229	77629
MCW_CT_ROA_231	221017
MCW_CT_ROA_232	44510
MCW_CT_ROA_234	48477
MCW_CT_ROA_235	78246
MCW_CT_ROA_237	122372
MCW_CT_ROA_238	176474
MCW_CT_ROA_240	96210
MCW_CT_ROA_241	182884
MCW_CT_ROA_243	92628
MCW_CT_ROA_244	72863
MCW_CT_ROA_246	173073
MCW_CT_ROA_247	119680
MCW_CT_ROA_249	79327
MCW_CT_ROA_250	245119
MCW_CT_ROA_252	59150
MCW_CT_ROA_253	168546
MCW_CT_ROA_255	184089
MCW_CT_ROA_256	24446
