Sample	Count
MCW_CT_ROA_169	357739
MCW_CT_ROA_171	302748
MCW_CT_ROA_172	323999
MCW_CT_ROA_174	67318
MCW_CT_ROA_175	108997
MCW_CT_ROA_177	279732
MCW_CT_ROA_178	350193
MCW_CT_ROA_180	222729
MCW_CT_ROA_181	220678
MCW_CT_ROA_183	290048
MCW_CT_ROA_184	143798
MCW_CT_ROA_186	247219
MCW_CT_ROA_189	211623
MCW_CT_ROA_190	276973
MCW_CT_ROA_192	288822
MCW_CT_ROA_193	108272
MCW_CT_ROA_195	314742
MCW_CT_ROA_196	358580
MCW_CT_ROA_198	256900
MCW_CT_ROA_199	205674
MCW_CT_ROA_201	263787
MCW_CT_ROA_202	251629
MCW_CT_ROA_204	395839
MCW_CT_ROA_205	283989
MCW_CT_ROA_207	274155
MCW_CT_ROA_208	232391
MCW_CT_ROA_210	206102
MCW_CT_ROA_211	246838
MCW_CT_ROA_123	126482
MCW_CT_ROA_124	52057
MCW_CT_ROA_126	190333
MCW_CT_ROA_127	56454
MCW_CT_ROA_130	95518
MCW_CT_ROA_132	110507
MCW_CT_ROA_133	94196
MCW_CT_ROA_135	97254
MCW_CT_ROA_136	128363
MCW_CT_ROA_138	142405
MCW_CT_ROA_139	238968
MCW_CT_ROA_141	180929
MCW_CT_ROA_142	66499
MCW_CT_ROA_144	61046
MCW_CT_ROA_145	260608
MCW_CT_ROA_147	61513
MCW_CT_ROA_148	84794
MCW_CT_ROA_150	122273
MCW_CT_ROA_151	93604
MCW_CT_ROA_153	227864
MCW_CT_ROA_154	115220
MCW_CT_ROA_156	196183
MCW_CT_ROA_157	177209
MCW_CT_ROA_159	207242
MCW_CT_ROA_160	185017
MCW_CT_ROA_162	197517
MCW_CT_ROA_163	217443
MCW_CT_ROA_165	177071
MCW_CT_ROA_166	168413
MCW_CT_ROA_213	248319
MCW_CT_ROA_214	183929
MCW_CT_ROA_217	323448
MCW_CT_ROA_219	480075
MCW_CT_ROA_220	200517
MCW_CT_ROA_222	492127
MCW_CT_ROA_223	560250
MCW_CT_ROA_225	142252
MCW_CT_ROA_226	254393
MCW_CT_ROA_228	84435
MCW_CT_ROA_229	236132
MCW_CT_ROA_231	420892
MCW_CT_ROA_232	212862
MCW_CT_ROA_234	164346
MCW_CT_ROA_235	182740
MCW_CT_ROA_237	283539
MCW_CT_ROA_238	477062
MCW_CT_ROA_240	262038
MCW_CT_ROA_241	354895
MCW_CT_ROA_243	248321
MCW_CT_ROA_244	282043
MCW_CT_ROA_246	334912
MCW_CT_ROA_247	232562
MCW_CT_ROA_249	266149
MCW_CT_ROA_250	484405
MCW_CT_ROA_252	294983
MCW_CT_ROA_253	405220
MCW_CT_ROA_255	325208
MCW_CT_ROA_256	174992
