Sample	Count
MCW_CT_ROA_169	621101
MCW_CT_ROA_171	597130
MCW_CT_ROA_172	644666
MCW_CT_ROA_174	247056
MCW_CT_ROA_175	151202
MCW_CT_ROA_177	540824
MCW_CT_ROA_178	839900
MCW_CT_ROA_180	475094
MCW_CT_ROA_181	513698
MCW_CT_ROA_183	657009
MCW_CT_ROA_184	652542
MCW_CT_ROA_186	456134
MCW_CT_ROA_189	383567
MCW_CT_ROA_190	541997
MCW_CT_ROA_192	337835
MCW_CT_ROA_193	576777
MCW_CT_ROA_195	683422
MCW_CT_ROA_196	804504
MCW_CT_ROA_198	602984
MCW_CT_ROA_199	534040
MCW_CT_ROA_201	571717
MCW_CT_ROA_202	495243
MCW_CT_ROA_204	489731
MCW_CT_ROA_205	433948
MCW_CT_ROA_207	386453
MCW_CT_ROA_208	437383
MCW_CT_ROA_210	329173
MCW_CT_ROA_211	539375
MCW_CT_ROA_123	450215
MCW_CT_ROA_124	181647
MCW_CT_ROA_126	431105
MCW_CT_ROA_127	230275
MCW_CT_ROA_130	338948
MCW_CT_ROA_132	382794
MCW_CT_ROA_133	317019
MCW_CT_ROA_135	288543
MCW_CT_ROA_136	396168
MCW_CT_ROA_138	419273
MCW_CT_ROA_139	432664
MCW_CT_ROA_141	502361
MCW_CT_ROA_142	239419
MCW_CT_ROA_144	258518
MCW_CT_ROA_145	454172
MCW_CT_ROA_147	252953
MCW_CT_ROA_148	289488
MCW_CT_ROA_150	264324
MCW_CT_ROA_151	327932
MCW_CT_ROA_153	477305
MCW_CT_ROA_154	294613
MCW_CT_ROA_156	348865
MCW_CT_ROA_157	372115
MCW_CT_ROA_159	414824
MCW_CT_ROA_160	391781
MCW_CT_ROA_162	295364
MCW_CT_ROA_163	320136
MCW_CT_ROA_165	269239
MCW_CT_ROA_166	322359
MCW_CT_ROA_213	704299
MCW_CT_ROA_214	250980
MCW_CT_ROA_217	745640
MCW_CT_ROA_219	819125
MCW_CT_ROA_220	752329
MCW_CT_ROA_222	845835
MCW_CT_ROA_223	1196362
MCW_CT_ROA_225	481403
MCW_CT_ROA_226	586298
MCW_CT_ROA_228	347987
MCW_CT_ROA_229	579820
MCW_CT_ROA_231	475293
MCW_CT_ROA_232	543936
MCW_CT_ROA_234	492910
MCW_CT_ROA_235	641026
MCW_CT_ROA_237	591229
MCW_CT_ROA_238	953488
MCW_CT_ROA_240	653296
MCW_CT_ROA_241	677523
MCW_CT_ROA_243	565073
MCW_CT_ROA_244	825679
MCW_CT_ROA_246	607830
MCW_CT_ROA_247	506951
MCW_CT_ROA_249	601972
MCW_CT_ROA_250	771955
MCW_CT_ROA_252	642710
MCW_CT_ROA_253	713856
MCW_CT_ROA_255	421447
MCW_CT_ROA_256	522351
