Sample	Count
MCW_CT_ROA_78	202591
MCW_CT_ROA_79	168860
MCW_CT_ROA_81	140547
MCW_CT_ROA_082	95741
MCW_CT_ROA_84	234394
MCW_CT_ROA_85	137266
MCW_CT_ROA_87	163079
MCW_CT_ROA_88	76372
MCW_CT_ROA_090	204220
MCW_CT_ROA_091	123752
MCW_CT_ROA_093	168247
MCW_CT_ROA_94	94710
MCW_CT_ROA_96	107951
MCW_CT_ROA_97	72198
MCW_CT_ROA_99	87795
MCW_CT_ROA_100	112580
MCW_CT_ROA_102	118926
MCW_CT_ROA_103	46620
MCW_CT_ROA_105	139366
MCW_CT_ROA_106	157329
MCW_CT_ROA_108	246975
MCW_CT_ROA_109	164028
MCW_CT_ROA_111	132792
MCW_CT_ROA_112	100738
MCW_CT_ROA_114	235065
MCW_CT_ROA_115	264189
MCW_CT_ROA_117	152203
MCW_CT_ROA_118	155882
MCW_CT_ROA_120	220995
MCW_CT_ROA_121	165448
MCW_CT_ROA_169	424699
MCW_CT_ROA_171	356347
MCW_CT_ROA_172	372357
MCW_CT_ROA_174	115321
MCW_CT_ROA_175	151158
MCW_CT_ROA_177	347351
MCW_CT_ROA_178	397870
MCW_CT_ROA_180	256053
MCW_CT_ROA_181	262443
MCW_CT_ROA_183	358694
MCW_CT_ROA_184	348254
MCW_CT_ROA_186	294216
MCW_CT_ROA_189	383269
MCW_CT_ROA_190	327481
MCW_CT_ROA_192	337474
MCW_CT_ROA_193	317597
MCW_CT_ROA_195	390831
MCW_CT_ROA_196	429810
MCW_CT_ROA_198	308849
MCW_CT_ROA_199	261428
MCW_CT_ROA_201	316241
MCW_CT_ROA_202	287148
MCW_CT_ROA_204	411039
MCW_CT_ROA_205	313053
MCW_CT_ROA_207	386228
MCW_CT_ROA_208	284090
MCW_CT_ROA_210	240830
MCW_CT_ROA_211	313737
MCW_CT_ROA_123	268376
MCW_CT_ROA_124	96410
MCW_CT_ROA_126	427398
MCW_CT_ROA_127	129277
MCW_CT_ROA_130	201892
MCW_CT_ROA_132	238226
MCW_CT_ROA_133	191596
MCW_CT_ROA_135	153523
MCW_CT_ROA_136	246716
MCW_CT_ROA_138	270590
MCW_CT_ROA_139	280645
MCW_CT_ROA_141	340799
MCW_CT_ROA_142	147157
MCW_CT_ROA_144	148402
MCW_CT_ROA_145	306316
MCW_CT_ROA_147	152936
MCW_CT_ROA_148	177279
MCW_CT_ROA_150	263451
MCW_CT_ROA_151	131617
MCW_CT_ROA_153	341225
MCW_CT_ROA_154	162694
MCW_CT_ROA_156	232368
MCW_CT_ROA_157	226143
MCW_CT_ROA_159	259983
MCW_CT_ROA_160	244049
MCW_CT_ROA_162	293339
MCW_CT_ROA_163	236288
MCW_CT_ROA_165	199683
MCW_CT_ROA_166	246526
MCW_CT_ROA_213	301288
MCW_CT_ROA_214	250958
MCW_CT_ROA_217	342708
MCW_CT_ROA_219	567233
MCW_CT_ROA_220	450376
MCW_CT_ROA_222	531707
MCW_CT_ROA_223	671924
MCW_CT_ROA_225	204019
MCW_CT_ROA_226	582267
MCW_CT_ROA_228	122955
MCW_CT_ROA_229	272927
MCW_CT_ROA_231	472915
MCW_CT_ROA_232	243262
MCW_CT_ROA_234	215853
MCW_CT_ROA_235	381936
MCW_CT_ROA_237	453657
MCW_CT_ROA_238	561271
MCW_CT_ROA_240	331648
MCW_CT_ROA_241	405409
MCW_CT_ROA_243	290076
MCW_CT_ROA_244	335987
MCW_CT_ROA_246	383781
MCW_CT_ROA_247	269762
MCW_CT_ROA_249	314612
MCW_CT_ROA_250	538601
MCW_CT_ROA_252	378122
MCW_CT_ROA_253	458157
MCW_CT_ROA_255	340070
MCW_CT_ROA_256	263290
