# Program:featureCounts v1.6.3; Command:"/usr/local/bin/featureCounts" "-p" "-a" "/scratch/10819/styu/MW_multiQC/peaks/final/H3K27ac_filt_iter.saf" "-F" "SAF" "-o" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac_iter_counts.txt" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_093/MCW_CT_ROA_093_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_102/MCW_CT_ROA_102_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_111/MCW_CT_ROA_111_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_120/MCW_CT_ROA_120_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_84/MCW_CT_ROA_84_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_090/MCW_CT_ROA_090_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_108/MCW_CT_ROA_108_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_117/MCW_CT_ROA_117_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_81/MCW_CT_ROA_81_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_99/MCW_CT_ROA_99_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_105/MCW_CT_ROA_105_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_114/MCW_CT_ROA_114_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_78/MCW_CT_ROA_78_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_87/MCW_CT_ROA_87_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_96/MCW_CT_ROA_96_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_103/MCW_CT_ROA_103_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_112/MCW_CT_ROA_112_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_121/MCW_CT_ROA_121_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_85/MCW_CT_ROA_85_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_94/MCW_CT_ROA_94_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_082/MCW_CT_ROA_082_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_091/MCW_CT_ROA_091_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_100/MCW_CT_ROA_100_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_109/MCW_CT_ROA_109_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_118/MCW_CT_ROA_118_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_106/MCW_CT_ROA_106_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_115/MCW_CT_ROA_115_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_79/MCW_CT_ROA_79_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_88/MCW_CT_ROA_88_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_97/MCW_CT_ROA_97_nobl.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_093/MCW_CT_ROA_093_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_102/MCW_CT_ROA_102_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_111/MCW_CT_ROA_111_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_120/MCW_CT_ROA_120_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_84/MCW_CT_ROA_84_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_090/MCW_CT_ROA_090_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_108/MCW_CT_ROA_108_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_117/MCW_CT_ROA_117_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_81/MCW_CT_ROA_81_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_99/MCW_CT_ROA_99_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_105/MCW_CT_ROA_105_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_114/MCW_CT_ROA_114_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_78/MCW_CT_ROA_78_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_87/MCW_CT_ROA_87_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_96/MCW_CT_ROA_96_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_103/MCW_CT_ROA_103_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_112/MCW_CT_ROA_112_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_121/MCW_CT_ROA_121_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_85/MCW_CT_ROA_85_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_94/MCW_CT_ROA_94_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_082/MCW_CT_ROA_082_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_091/MCW_CT_ROA_091_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_100/MCW_CT_ROA_100_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_109/MCW_CT_ROA_109_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_118/MCW_CT_ROA_118_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_106/MCW_CT_ROA_106_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_115/MCW_CT_ROA_115_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_79/MCW_CT_ROA_79_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_88/MCW_CT_ROA_88_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_97/MCW_CT_ROA_97_nobl.bam
chr1:191151-191652	chr1	191151	191652	.	502	1	8	5	0	2	1	2	0	1	0	1	1	0	3	9	2	8	5	3	3	3	2	13	10	2	5	6	5	0	4
chr1:778409-778910	chr1	778409	778910	.	502	113	20	45	63	41	98	67	54	55	33	21	29	3	49	17	13	73	49	232	47	69	58	27	110	40	62	45	226	52	20
chr1:778980-779481	chr1	778980	779481	.	502	9	1	4	6	11	8	5	5	8	5	4	6	0	1	3	0	3	12	18	9	13	7	6	2	8	7	2	19	2	2
chr1:825594-826095	chr1	825594	826095	.	502	0	3	10	13	8	15	7	3	2	6	9	0	0	12	0	2	11	6	16	5	9	7	0	8	4	7	3	6	4	2
chr1:826471-826972	chr1	826471	826972	.	502	8	2	7	3	7	6	5	2	9	8	13	14	3	8	3	1	13	2	32	4	5	4	5	13	2	17	2	20	5	4
chr1:827233-827734	chr1	827233	827734	.	502	46	21	22	7	12	23	13	12	21	24	7	5	13	14	14	8	22	13	81	14	18	20	27	29	25	29	7	66	17	14
chr1:831529-832030	chr1	831529	832030	.	502	7	2	3	3	6	9	13	8	5	6	11	4	0	2	5	7	12	1	17	3	12	13	6	3	3	3	13	8	4	8
chr1:832036-832537	chr1	832036	832537	.	502	25	3	13	20	24	12	20	0	6	2	12	1	1	2	8	2	7	20	65	12	17	18	13	5	11	7	15	53	14	5
chr1:906513-907014	chr1	906513	907014	.	502	3	5	6	3	0	3	5	0	5	1	3	4	3	0	3	1	6	3	2	3	4	12	6	6	16	4	10	6	4	4
chr1:920974-921475	chr1	920974	921475	.	502	3	5	15	5	1	9	20	2	8	0	14	5	11	6	6	5	12	12	21	8	12	14	12	42	15	14	14	32	3	12
chr1:936968-937469	chr1	936968	937469	.	502	4	2	6	1	0	6	1	7	10	2	8	4	20	7	14	0	2	1	4	5	3	3	0	3	8	6	4	14	0	1
chr1:958528-959029	chr1	958528	959029	.	502	18	8	19	5	5	17	8	12	20	18	18	9	10	19	11	2	4	5	8	4	9	12	16	15	22	8	9	17	4	20
chr1:959114-959615	chr1	959114	959615	.	502	14	13	12	12	9	11	26	14	11	10	16	15	4	7	16	6	29	15	26	13	17	5	27	32	20	59	14	40	10	12
chr1:961225-961726	chr1	961225	961726	.	502	5	6	12	6	11	2	4	3	18	3	11	10	14	14	8	3	8	6	11	3	9	7	5	5	4	4	8	11	4	1
chr1:963377-963878	chr1	963377	963878	.	502	1	0	4	0	1	0	3	5	12	0	7	13	21	9	13	0	3	6	16	5	2	3	4	6	3	2	5	3	0	2
chr1:966699-967200	chr1	966699	967200	.	502	25	14	18	10	6	19	26	10	13	10	17	4	3	3	8	4	10	12	17	8	7	25	24	22	21	21	20	21	8	17
chr1:998183-998684	chr1	998183	998684	.	502	7	6	20	6	6	20	35	15	11	13	32	17	3	24	19	9	37	10	29	16	7	16	19	28	14	19	3	22	9	16
chr1:999393-999894	chr1	999393	999894	.	502	15	21	60	11	15	32	89	30	45	20	56	37	10	38	30	7	88	16	55	26	19	25	19	79	19	79	13	63	17	12
chr1:999953-1000454	chr1	999953	1000454	.	502	112	62	206	67	40	58	130	57	69	41	72	38	15	46	40	41	337	80	289	52	83	118	88	287	77	281	27	272	48	60
chr1:1001678-1002179	chr1	1001678	1002179	.	502	44	30	64	33	7	23	37	21	21	12	32	30	15	25	22	19	90	42	83	41	42	74	36	109	58	129	19	125	26	32
chr1:1004374-1004875	chr1	1004374	1004875	.	502	29	11	42	23	3	12	12	12	9	3	20	8	5	17	6	14	39	23	28	13	23	37	12	57	47	61	7	58	18	22
chr1:1005165-1005666	chr1	1005165	1005666	.	502	128	56	163	45	60	29	125	33	25	7	17	16	3	4	20	29	174	79	273	48	81	84	80	132	116	296	50	316	60	54
chr1:1005733-1006234	chr1	1005733	1006234	.	502	15	8	39	9	18	3	14	27	7	2	19	1	7	8	5	6	21	14	54	10	10	18	22	32	14	45	7	56	12	6
chr1:1007081-1007582	chr1	1007081	1007582	.	502	3	1	2	4	3	1	2	3	5	0	2	4	2	12	0	2	1	3	1	2	6	1	0	2	1	4	7	0	0	3
chr1:1012689-1013190	chr1	1012689	1013190	.	502	7	4	4	10	6	3	2	4	0	5	4	0	3	10	2	1	18	4	1	8	1	5	11	13	9	12	4	18	7	7
chr1:1013283-1013784	chr1	1013283	1013784	.	502	78	52	101	24	24	28	56	12	25	22	52	2	12	12	14	19	102	31	90	32	28	39	54	115	32	58	39	57	25	34
chr1:1014778-1015279	chr1	1014778	1015279	.	502	5	8	7	9	3	6	9	8	3	1	16	6	0	5	9	1	3	5	19	8	10	6	14	14	9	1	5	18	4	8
chr1:1017703-1018204	chr1	1017703	1018204	.	502	3	5	5	1	1	6	0	3	6	5	5	2	9	8	8	1	2	3	3	2	1	4	0	6	3	3	1	7	2	0
chr1:1019404-1019905	chr1	1019404	1019905	.	502	81	42	79	47	23	27	94	31	31	21	39	1	10	24	10	11	88	59	103	22	37	43	40	92	41	99	24	131	30	17
chr1:1020414-1020915	chr1	1020414	1020915	.	502	10	16	24	7	13	19	45	7	29	11	35	17	4	30	14	2	17	3	17	3	14	23	20	11	27	26	5	32	6	15
chr1:1020965-1021466	chr1	1020965	1021466	.	502	50	39	52	19	13	30	70	32	40	26	49	13	3	37	39	13	37	68	21	16	14	27	37	41	41	53	15	60	23	16
chr1:1024068-1024569	chr1	1024068	1024569	.	502	7	13	12	10	6	5	12	9	16	3	20	6	2	10	3	3	18	12	6	5	3	11	6	7	14	12	21	12	2	8
chr1:1024585-1025086	chr1	1024585	1025086	.	502	9	13	30	9	25	9	24	10	10	3	7	6	6	1	8	3	18	39	40	9	14	8	16	46	18	49	10	32	13	9
chr1:1025115-1025616	chr1	1025115	1025616	.	502	19	8	34	15	8	4	34	15	10	4	14	6	5	6	24	6	19	23	30	7	6	18	12	11	7	39	14	39	11	13
chr1:1027623-1028124	chr1	1027623	1028124	.	502	5	11	13	0	11	4	19	3	6	4	10	0	8	9	6	4	5	6	6	4	3	3	19	19	15	1	2	12	7	2
chr1:1030897-1031398	chr1	1030897	1031398	.	502	10	6	18	2	7	3	6	8	8	3	3	2	7	7	12	5	16	12	14	11	7	6	8	15	12	19	3	20	10	15
chr1:1032870-1033371	chr1	1032870	1033371	.	502	33	21	22	21	18	6	14	3	14	4	6	1	8	4	7	7	46	20	56	9	15	19	16	61	20	58	15	71	15	18
chr1:1042368-1042869	chr1	1042368	1042869	.	502	1	2	3	5	0	4	13	4	13	4	12	11	28	14	11	2	2	6	2	1	9	2	6	0	1	1	0	6	0	1
chr1:1051720-1052221	chr1	1051720	1052221	.	502	0	1	1	1	0	0	6	1	12	2	4	7	14	2	11	1	3	8	7	2	4	1	6	4	5	7	0	9	2	1
chr1:1052517-1053018	chr1	1052517	1053018	.	502	0	3	2	0	2	2	2	2	8	3	1	6	74	3	9	1	0	1	1	1	1	4	3	0	3	9	2	3	0	2
chr1:1069639-1070140	chr1	1069639	1070140	.	502	3	15	6	0	6	1	5	2	23	7	15	10	40	18	9	1	6	13	10	8	5	11	4	15	15	10	6	28	10	10
chr1:1072638-1073139	chr1	1072638	1073139	.	502	0	4	2	1	2	1	2	1	6	0	4	0	7	10	6	1	5	3	0	5	8	2	0	3	8	4	0	17	6	7
chr1:1079590-1080091	chr1	1079590	1080091	.	502	70	59	92	31	10	38	35	28	30	18	21	11	2	20	7	32	119	52	135	47	39	68	67	158	84	158	22	136	63	64
chr1:1081521-1082022	chr1	1081521	1082022	.	502	9	3	1	0	3	1	16	5	3	2	6	0	2	5	2	0	5	3	6	5	3	7	2	5	8	6	11	16	2	3
chr1:1086815-1087316	chr1	1086815	1087316	.	502	0	6	6	5	5	4	3	0	16	3	8	3	14	14	14	0	4	6	7	2	8	5	4	1	8	11	1	3	2	4
chr1:1115836-1116337	chr1	1115836	1116337	.	502	45	24	43	38	19	42	68	26	8	18	32	12	1	24	12	15	52	27	64	25	38	33	34	94	39	90	25	127	21	27
chr1:1157505-1158006	chr1	1157505	1158006	.	502	5	13	23	2	5	15	14	1	1	4	2	2	2	2	0	8	21	5	17	8	9	18	22	38	18	41	8	20	10	15
chr1:1214874-1215375	chr1	1214874	1215375	.	502	2	7	5	1	1	13	3	2	7	3	5	0	9	0	1	2	4	12	8	2	3	7	12	1	14	5	5	0	1	9
chr1:1215643-1216144	chr1	1215643	1216144	.	502	4	11	7	1	8	10	21	4	9	4	5	1	15	18	3	4	9	15	21	12	8	14	9	16	1	9	6	12	4	8
chr1:1217697-1218198	chr1	1217697	1218198	.	502	6	19	7	13	8	7	22	6	15	9	17	1	26	12	12	4	5	4	8	4	6	1	10	8	12	14	7	2	1	3
